nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373298721E-05  2.569314462E-05  9.682999981E+04  9.710709650E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.023738820E-04  2.154851333E-04  9.682999815E+04 -2.057547929E-04  2.919999657E+02  2.919999656E+02  9.999950301E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.492672423E-04  4.271896261E-05  9.682999822E+04 -2.102705751E-04  2.918656014E+02  2.918656012E+02  9.992225721E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.916237604E-04  2.291191221E-04  9.682999961E+04 -1.825642909E-04  2.919999996E+02  2.919999995E+02  9.999998583E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.651068266E-05  1.185185372E-04  9.682999772E+04  6.163134790E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152537166E-03  1.813602326E-03  9.682999821E+04 -4.977183338E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.877168324E-04  8.243284382E-05  9.682999979E+04 -3.125010711E-04  2.919998207E+02  2.919998205E+02  9.999978807E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.294359941E-04  2.016927237E-04  9.682999867E+04 -2.454017257E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.378856573E-04  3.879108759E-05  9.682999997E+04 -2.024903350E-04  2.919943931E+02  2.919943929E+02  9.999825811E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010559777E-04  1.845946623E-04  9.682999978E+04 -2.326228628E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816733846E-03  1.776131029E-03  9.682999963E+04 -1.960937525E-04  2.919977806E+02  2.919977805E+02  9.999769389E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.654727065E-04  2.201472930E-05  9.682999883E+04 -2.445644280E-04  2.807715599E+02  2.807715597E+02  9.676970504E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.150900087E-04  5.548541925E-05  9.683000041E+04 -2.643173147E-04  2.910904686E+02  2.910904684E+02  9.972953242E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.754771365E-04  1.879392841E-04  9.682999909E+04 -1.011663137E-04  2.873312065E+02  2.873312064E+02  9.933871166E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.706667574E-04  3.609426199E-04  9.683000017E+04 -3.519796136E-05  2.868689263E+02  2.868689263E+02  9.980442451E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.614852583E-05  1.006258720E-04  9.682999996E+04  6.566739169E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116757347E-02  1.067686591E-02  9.682998811E+04 -1.425483231E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.300734960E-04  4.086417497E-05  9.683000111E+04 -2.927558366E-04  2.917512062E+02  2.917512060E+02  9.999990558E-01 
