nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.380923904E-05  2.586937840E-05  9.682999981E+04  9.795261457E-06  2.919999996E+02  2.919999996E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.013192597E-04  2.156001512E-04  9.682999816E+04 -2.045948515E-04  2.919994631E+02  2.919994629E+02  9.999902214E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.455287366E-04  3.891885583E-05  9.682999822E+04 -2.100018768E-04  2.918728139E+02  2.918728138E+02  9.993884854E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.921682436E-04  2.295608641E-04  9.682999961E+04 -1.827057610E-04  2.919999996E+02  2.919999995E+02  9.999998333E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.661915011E-05  1.185591919E-04  9.682999772E+04  6.156003524E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152081045E-03  1.813319457E-03  9.682999821E+04 -4.975203709E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.880462168E-04  8.277358797E-05  9.682999979E+04 -3.125195014E-04  2.919998037E+02  2.919998035E+02  9.999984664E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.296335677E-04  2.020542847E-04  9.682999867E+04 -2.452693615E-04  2.919999972E+02  2.919999970E+02  9.999999903E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.388453747E-04  3.934783247E-05  9.682999996E+04 -2.029421355E-04  2.919949430E+02  2.919949428E+02  9.999948329E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010158496E-04  1.845997426E-04  9.682999978E+04 -2.325779952E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816395277E-03  1.775867004E-03  9.682999963E+04 -1.959964458E-04  2.919978413E+02  2.919978413E+02  9.999774481E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.637812852E-04  2.276321924E-05  9.682999883E+04 -2.422150005E-04  2.813621034E+02  2.813621032E+02  9.718929610E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.160337619E-04  5.767780804E-05  9.683000041E+04 -2.632517520E-04  2.911009938E+02  2.911009936E+02  9.987947850E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.674168991E-04  1.754034228E-04  9.682999910E+04 -1.050822153E-04  2.879580707E+02  2.879580706E+02  9.962713843E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.725546229E-04  3.622893767E-04  9.683000017E+04 -3.586723554E-05  2.868962278E+02  2.868962278E+02  9.981000822E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.630746119E-05  1.007359549E-04  9.682999996E+04  6.560892832E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116821558E-02  1.067843193E-02  9.682998811E+04 -1.424696394E-03  2.919999985E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.298221793E-04  3.986890582E-05  9.683000111E+04 -2.934165659E-04  2.917760662E+02  2.917760660E+02  9.999995485E-01 
