nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.379143877E-05  2.584641023E-05  9.682999981E+04  9.792144784E-06  2.919999996E+02  2.919999997E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.012445514E-04  2.160642779E-04  9.682999816E+04 -2.040967819E-04  2.919995298E+02  2.919995296E+02  9.999925789E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.452695672E-04  3.794968077E-05  9.682999822E+04 -2.106271793E-04  2.918719173E+02  2.918719171E+02  9.994208265E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.921357505E-04  2.296823794E-04  9.682999961E+04 -1.825623476E-04  2.919999996E+02  2.919999995E+02  9.999998320E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.658070794E-05  1.185578498E-04  9.682999772E+04  6.159724231E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.151934321E-03  1.813281569E-03  9.682999821E+04 -4.974082105E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.875727401E-04  8.255610151E-05  9.682999979E+04 -3.122444991E-04  2.919998134E+02  2.919998131E+02  9.999986269E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.295626611E-04  2.024050512E-04  9.682999867E+04 -2.448784330E-04  2.919999972E+02  2.919999971E+02  9.999999904E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.387557549E-04  3.957132490E-05  9.682999996E+04 -2.026485572E-04  2.919951376E+02  2.919951374E+02  9.999958066E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.009115038E-04  1.846558493E-04  9.682999978E+04 -2.324226022E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816279249E-03  1.775878876E-03  9.682999963E+04 -1.958695546E-04  2.919978437E+02  2.919978437E+02  9.999774356E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.628107852E-04  2.342949725E-05  9.682999884E+04 -2.406196241E-04  2.814290528E+02  2.814290526E+02  9.724472627E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.159122794E-04  5.667137520E-05  9.683000041E+04 -2.640594714E-04  2.911487029E+02  2.911487027E+02  9.989666928E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.665825415E-04  1.738165473E-04  9.682999910E+04 -1.057360210E-04  2.879922765E+02  2.879922764E+02  9.964538137E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.726015818E-04  3.624482476E-04  9.683000017E+04 -3.576568272E-05  2.868953499E+02  2.868953499E+02  9.981009634E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.626555959E-05  1.007258505E-04  9.682999996E+04  6.564162720E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116786618E-02  1.067844804E-02  9.682998811E+04 -1.424332397E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.292216438E-04  3.919710808E-05  9.683000111E+04 -2.934293900E-04  2.917762226E+02  2.917762224E+02  9.999995907E-01 
