nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.383635262E-05  2.600898948E-05  9.682999981E+04  9.895546696E-06  2.919999995E+02  2.919999996E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.019560666E-04  2.136059011E-04  9.682999816E+04 -2.070515786E-04  2.919999150E+02  2.919999148E+02  9.999863307E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.447319513E-04  4.069067583E-05  9.682999822E+04 -2.075872300E-04  2.918698323E+02  2.918698322E+02  9.991409178E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.918854247E-04  2.292923245E-04  9.682999961E+04 -1.826680729E-04  2.919999996E+02  2.919999995E+02  9.999998449E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.664227796E-05  1.185625259E-04  9.682999772E+04  6.153991059E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152520147E-03  1.813651360E-03  9.682999821E+04 -4.976565956E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.862312609E-04  8.167331114E-05  9.682999979E+04 -3.117085234E-04  2.919998356E+02  2.919998353E+02  9.999985562E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.297836579E-04  2.008446223E-04  9.682999867E+04 -2.465232520E-04  2.919999973E+02  2.919999972E+02  9.999999897E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.389362022E-04  4.008425891E-05  9.682999996E+04 -2.023609409E-04  2.919951094E+02  2.919951092E+02  9.999882120E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010092457E-04  1.845746105E-04  9.682999978E+04 -2.325944882E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.817060662E-03  1.776057244E-03  9.682999963E+04 -1.964880698E-04  2.919978197E+02  2.919978196E+02  9.999771685E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.650425557E-04  2.177161273E-05  9.682999883E+04 -2.443772708E-04  2.809181554E+02  2.809181552E+02  9.689402045E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.132438128E-04  5.641455936E-05  9.683000041E+04 -2.616269026E-04  2.911277521E+02  2.911277519E+02  9.974855074E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.708141783E-04  1.838841622E-04  9.682999910E+04 -1.003183612E-04  2.874265871E+02  2.874265870E+02  9.934830258E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.711661990E-04  3.612142991E-04  9.683000017E+04 -3.545745680E-05  2.868789787E+02  2.868789787E+02  9.980657432E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.634102676E-05  1.007675497E-04  9.682999996E+04  6.560421100E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116732999E-02  1.067696960E-02  9.682998811E+04 -1.425145165E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.289192666E-04  4.054805711E-05  9.683000111E+04 -2.918896322E-04  2.917473376E+02  2.917473374E+02  9.999992175E-01 
