nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373150892E-05  2.570496104E-05  9.682999981E+04  9.722951087E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.024816007E-04  2.154889916E-04  9.682999815E+04 -2.058588477E-04  2.919999657E+02  2.919999656E+02  9.999950273E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.493514588E-04  4.273842168E-05  9.682999822E+04 -2.103369947E-04  2.918654775E+02  2.918654773E+02  9.992217211E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.916574735E-04  2.291237898E-04  9.682999961E+04 -1.825937886E-04  2.919999996E+02  2.919999995E+02  9.999998577E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.651068396E-05  1.185206744E-04  9.682999772E+04  6.163331862E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152564465E-03  1.813602770E-03  9.682999821E+04 -4.977452909E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.877922894E-04  8.243485560E-05  9.682999979E+04 -3.125746348E-04  2.919998206E+02  2.919998203E+02  9.999978768E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.295414282E-04  2.016944420E-04  9.682999867E+04 -2.455056315E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.379484243E-04  3.878478907E-05  9.682999996E+04 -2.025588848E-04  2.919943841E+02  2.919943839E+02  9.999825182E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010828344E-04  1.845938036E-04  9.682999978E+04 -2.326504484E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816767583E-03  1.776117634E-03  9.682999963E+04 -1.961397539E-04  2.919977811E+02  2.919977811E+02  9.999769342E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.655540872E-04  2.201425827E-05  9.682999883E+04 -2.446460897E-04  2.807697597E+02  2.807697595E+02  9.676713678E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.152048411E-04  5.546146119E-05  9.683000041E+04 -2.644539817E-04  2.910900398E+02  2.910900396E+02  9.973115277E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.755798115E-04  1.879706244E-04  9.682999909E+04 -1.012377513E-04  2.873275951E+02  2.873275950E+02  9.933783129E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.707096433E-04  3.609406053E-04  9.683000017E+04 -3.524230084E-05  2.868685276E+02  2.868685276E+02  9.980451258E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.615159923E-05  1.006324747E-04  9.682999996E+04  6.567033168E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116756456E-02  1.067687147E-02  9.682998811E+04 -1.425469279E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.301481095E-04  4.086754471E-05  9.683000111E+04 -2.928274356E-04  2.917511220E+02  2.917511217E+02  9.999990529E-01 
