nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.370069488E-05  2.573183754E-05  9.682999981E+04  9.778254107E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.026693406E-04  2.155274095E-04  9.682999815E+04 -2.060116219E-04  2.919999655E+02  2.919999653E+02  9.999950214E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.495777158E-04  4.280057465E-05  9.682999822E+04 -2.105066147E-04  2.918651111E+02  2.918651109E+02  9.992181952E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.917486599E-04  2.291271140E-04  9.682999961E+04 -1.826819534E-04  2.919999996E+02  2.919999995E+02  9.999998570E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.647869189E-05  1.185251027E-04  9.682999772E+04  6.166941720E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152368609E-03  1.813607684E-03  9.682999821E+04 -4.975448632E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.880570454E-04  8.245840058E-05  9.682999979E+04 -3.128179464E-04  2.919998184E+02  2.919998181E+02  9.999978148E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.297175652E-04  2.017109902E-04  9.682999867E+04 -2.456666997E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.380844904E-04  3.875268094E-05  9.682999996E+04 -2.027241575E-04  2.919943523E+02  2.919943522E+02  9.999822665E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011667586E-04  1.845918843E-04  9.682999978E+04 -2.327362031E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816650843E-03  1.776078573E-03  9.682999963E+04 -1.960585196E-04  2.919977820E+02  2.919977820E+02  9.999769202E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.658116534E-04  2.203157760E-05  9.682999883E+04 -2.448866677E-04  2.807637036E+02  2.807637034E+02  9.675752224E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.154506279E-04  5.544490816E-05  9.683000041E+04 -2.647156151E-04  2.910949204E+02  2.910949202E+02  9.972852419E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.758568175E-04  1.880825920E-04  9.682999909E+04 -1.014046242E-04  2.873170806E+02  2.873170806E+02  9.933365100E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.708061639E-04  3.609274091E-04  9.683000017E+04 -3.535045994E-05  2.868679669E+02  2.868679669E+02  9.980468542E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.612687925E-05  1.006461734E-04  9.682999996E+04  6.570747511E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116629583E-02  1.067697942E-02  9.682998811E+04 -1.424102012E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.304096334E-04  4.086859487E-05  9.683000111E+04 -2.930879104E-04  2.917509351E+02  2.917509348E+02  9.999990304E-01 
