nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.389817126E-05  2.596162410E-05  9.682999981E+04  9.790533072E-06  2.919999996E+02  2.919999996E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.008055633E-04  2.135474517E-04  9.682999816E+04 -2.059543730E-04  2.919997071E+02  2.919997069E+02  9.999861364E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.441373441E-04  4.036247998E-05  9.682999822E+04 -2.072927356E-04  2.918751670E+02  2.918751669E+02  9.992704229E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.917960358E-04  2.293167350E-04  9.682999961E+04 -1.825563149E-04  2.919999996E+02  2.919999995E+02  9.999998385E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.672539533E-05  1.185650494E-04  9.682999772E+04  6.145910040E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152411860E-03  1.813503922E-03  9.682999821E+04 -4.976828257E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.870620831E-04  8.256268915E-05  9.682999979E+04 -3.117277977E-04  2.919998280E+02  2.919998278E+02  9.999984660E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.290945262E-04  2.008019470E-04  9.682999867E+04 -2.458731220E-04  2.919999972E+02  2.919999970E+02  9.999999897E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.386433304E-04  3.970589260E-05  9.682999996E+04 -2.024132600E-04  2.919950337E+02  2.919950335E+02  9.999914103E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.008031484E-04  1.845119076E-04  9.682999978E+04 -2.324455497E-04  2.920000005E+02  2.920000003E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816685304E-03  1.775850215E-03  9.682999963E+04 -1.963016674E-04  2.919978298E+02  2.919978298E+02  9.999773390E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.647746011E-04  2.110882278E-05  9.682999883E+04 -2.447566584E-04  2.811493822E+02  2.811493820E+02  9.699411517E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.136693829E-04  5.862534923E-05  9.683000041E+04 -2.600096048E-04  2.910306858E+02  2.910306856E+02  9.980944600E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.686992384E-04  1.807078089E-04  9.682999910E+04 -1.013279662E-04  2.877402748E+02  2.877402748E+02  9.951893205E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.716564856E-04  3.616480743E-04  9.683000017E+04 -3.555231838E-05  2.868856634E+02  2.868856634E+02  9.980806274E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.642816681E-05  1.007666505E-04  9.682999996E+04  6.551621478E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116918882E-02  1.067885452E-02  9.682998811E+04 -1.425284151E-03  2.919999985E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.293019175E-04  4.121892387E-05  9.683000111E+04 -2.916622282E-04  2.917670742E+02  2.917670740E+02  9.999993005E-01 
