nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.372666913E-05  2.570912163E-05  9.682999981E+04  9.731629447E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.024979822E-04  2.154913287E-04  9.682999815E+04 -2.058731586E-04  2.919999657E+02  2.919999656E+02  9.999950266E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.493687889E-04  4.274746073E-05  9.682999822E+04 -2.103460566E-04  2.918654269E+02  2.918654268E+02  9.992213009E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.916637885E-04  2.291249231E-04  9.682999961E+04 -1.825990659E-04  2.919999996E+02  2.919999995E+02  9.999998576E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.650612853E-05  1.185214209E-04  9.682999772E+04  6.163854051E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152537972E-03  1.813602320E-03  9.682999821E+04 -4.977191747E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.878172515E-04  8.243671344E-05  9.682999979E+04 -3.125978788E-04  2.919998205E+02  2.919998202E+02  9.999978733E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.295572835E-04  2.016952680E-04  9.682999867E+04 -2.455206365E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.379561509E-04  3.878135125E-05  9.682999996E+04 -2.025697392E-04  2.919943800E+02  2.919943798E+02  9.999824879E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010878571E-04  1.845934698E-04  9.682999978E+04 -2.326557649E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816748115E-03  1.776111499E-03  9.682999963E+04 -1.961258982E-04  2.919977813E+02  2.919977813E+02  9.999769321E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.655791747E-04  2.201431796E-05  9.682999883E+04 -2.446710995E-04  2.807689228E+02  2.807689226E+02  9.676595514E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.152259698E-04  5.545431666E-05  9.683000041E+04 -2.644816935E-04  2.910902198E+02  2.910902196E+02  9.973141219E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.756038860E-04  1.879844364E-04  9.682999909E+04 -1.012480952E-04  2.873261916E+02  2.873261916E+02  9.933737769E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.707161056E-04  3.609393943E-04  9.683000017E+04 -3.524971707E-05  2.868684107E+02  2.868684107E+02  9.980454390E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.614817635E-05  1.006347554E-04  9.682999996E+04  6.567583654E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116743456E-02  1.067688284E-02  9.682998811E+04 -1.425328813E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.301734005E-04  4.086946572E-05  9.683000111E+04 -2.928509259E-04  2.917510936E+02  2.917510934E+02  9.999990510E-01 
