nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.357789017E-05  2.565359071E-05  9.682999981E+04  9.829699755E-06  2.919999998E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.053020551E-04  2.114645563E-04  9.682999815E+04 -2.123515336E-04  2.920000014E+02  2.920000012E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.382927422E-04  1.673125605E-05  9.682999823E+04 -2.230241868E-04  2.919633368E+02  2.919633366E+02  9.999086863E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.912907483E-04  2.283150661E-04  9.682999961E+04 -1.829650249E-04  2.919999997E+02  2.919999996E+02  9.999998838E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.639603394E-05  1.185496533E-04  9.682999772E+04  6.177438782E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152233016E-03  1.814069754E-03  9.682999821E+04 -4.969876943E-04  2.920000012E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.028893390E-04  9.216903898E-05  9.682999978E+04 -3.187897294E-04  2.919998999E+02  2.919998997E+02  9.999965281E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.354513487E-04  2.003283002E-04  9.682999866E+04 -2.526620467E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.590990114E-04  5.620100412E-05  9.682999994E+04 -2.078185236E-04  2.919998688E+02  2.919998687E+02  1.000000002E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.004783636E-04  1.840943742E-04  9.682999978E+04 -2.325016678E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816502471E-03  1.775965504E-03  9.682999963E+04 -1.960136943E-04  2.919978411E+02  2.919978410E+02  9.999759572E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.615109107E-04  2.608866702E-05  9.682999884E+04 -2.373819876E-04  2.881016709E+02  2.881016707E+02  9.986530643E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.190800062E-04  4.934367326E-05  9.683000040E+04 -2.740542147E-04  2.919858167E+02  2.919858164E+02  9.999896092E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.605980088E-04  1.605771554E-04  9.682999911E+04 -1.126774949E-04  2.893016122E+02  2.893016122E+02  9.985140767E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.711520439E-04  3.602770498E-04  9.683000017E+04 -3.636177944E-05  2.869215510E+02  2.869215510E+02  9.980343349E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.613837451E-05  1.008224814E-04  9.682999996E+04  6.585689469E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116521608E-02  1.067660894E-02  9.682998811E+04 -1.423360360E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.359115437E-04  3.889404465E-05  9.683000111E+04 -3.004200580E-04  2.919771536E+02  2.919771534E+02  9.999997077E-01 
