nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.368044790E-05  2.575512888E-05  9.682999981E+04  9.819790954E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.025027630E-04  2.155893895E-04  9.682999815E+04 -2.057885032E-04  2.919999651E+02  2.919999649E+02  9.999949912E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.494479195E-04  4.280752989E-05  9.682999822E+04 -2.103702698E-04  2.918648506E+02  2.918648504E+02  9.992135199E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.916699257E-04  2.291293530E-04  9.682999961E+04 -1.826012101E-04  2.919999996E+02  2.919999995E+02  9.999998567E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.646286693E-05  1.185284420E-04  9.682999772E+04  6.168823297E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152371757E-03  1.813612577E-03  9.682999821E+04 -4.975435430E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.879067514E-04  8.247424293E-05  9.682999979E+04 -3.126532737E-04  2.919998142E+02  2.919998140E+02  9.999977062E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.295379010E-04  2.017427052E-04  9.682999867E+04 -2.454579888E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.379236044E-04  3.874596700E-05  9.682999996E+04 -2.025694324E-04  2.919943392E+02  2.919943390E+02  9.999820741E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010907000E-04  1.845925424E-04  9.682999978E+04 -2.326595171E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816641708E-03  1.776064502E-03  9.682999963E+04 -1.960623314E-04  2.919977831E+02  2.919977830E+02  9.999769128E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.656060371E-04  2.209235514E-05  9.682999883E+04 -2.446228151E-04  2.807562813E+02  2.807562811E+02  9.674449345E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.153278282E-04  5.546542259E-05  9.683000041E+04 -2.645756742E-04  2.911048662E+02  2.911048660E+02  9.972239163E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.757684747E-04  1.881627268E-04  9.682999909E+04 -1.012360213E-04  2.873072720E+02  2.873072719E+02  9.932902721E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.707133497E-04  3.609142961E-04  9.683000017E+04 -3.526982489E-05  2.868679191E+02  2.868679191E+02  9.980480220E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.611421867E-05  1.006565817E-04  9.682999996E+04  6.572974256E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116656648E-02  1.067683145E-02  9.682998811E+04 -1.424507752E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.302283106E-04  4.082052514E-05  9.683000111E+04 -2.929504626E-04  2.917503768E+02  2.917503766E+02  9.999989997E-01 
