nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.370285472E-05  2.572915764E-05  9.682999981E+04  9.773581140E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.026623205E-04  2.155212201E-04  9.682999815E+04 -2.060102648E-04  2.919999655E+02  2.919999654E+02  9.999950225E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.495667224E-04  4.279568308E-05  9.682999822E+04 -2.104999274E-04  2.918651480E+02  2.918651478E+02  9.992186230E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.917463757E-04  2.291269692E-04  9.682999961E+04 -1.826798423E-04  2.919999996E+02  2.919999995E+02  9.999998571E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.648079944E-05  1.185247028E-04  9.682999772E+04  6.166697234E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152376003E-03  1.813606809E-03  9.682999821E+04 -4.975529863E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.880462125E-04  8.245552668E-05  9.682999979E+04 -3.128097515E-04  2.919998188E+02  2.919998185E+02  9.999978250E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.297120413E-04  2.017080567E-04  9.682999867E+04 -2.456637582E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.380826846E-04  3.875591845E-05  9.682999996E+04 -2.027195082E-04  2.919943554E+02  2.919943552E+02  9.999822942E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011647151E-04  1.845919664E-04  9.682999978E+04 -2.327340221E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816653362E-03  1.776081142E-03  9.682999963E+04 -1.960588348E-04  2.919977820E+02  2.919977819E+02  9.999769215E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.658053271E-04  2.202733822E-05  9.682999883E+04 -2.448844070E-04  2.807643931E+02  2.807643929E+02  9.675872244E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.154366981E-04  5.544360163E-05  9.683000041E+04 -2.647027618E-04  2.910940570E+02  2.910940568E+02  9.972915375E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.758410991E-04  1.880706720E-04  9.682999909E+04 -1.014005530E-04  2.873182244E+02  2.873182244E+02  9.933415548E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.708042418E-04  3.609289498E-04  9.683000017E+04 -3.534717521E-05  2.868680039E+02  2.868680039E+02  9.980467172E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.612838345E-05  1.006449088E-04  9.682999996E+04  6.570490276E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116634225E-02  1.067698302E-02  9.682998811E+04 -1.424145116E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.304012055E-04  4.087080991E-05  9.683000111E+04 -2.930774869E-04  2.917509652E+02  2.917509650E+02  9.999990335E-01 
