nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.278869544E-05  2.560105938E-05  9.682999981E+04  1.057097630E-05  2.919999998E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.156522616E-04  2.107976081E-04  9.682999814E+04 -2.233103370E-04  2.920000003E+02  2.920000001E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.534371464E-04  8.763090915E-06  9.682999821E+04 -2.454413026E-04  2.919998979E+02  2.919998978E+02  9.999999770E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.902326521E-04  2.245245763E-04  9.682999961E+04 -1.853655619E-04  2.920000000E+02  2.919999998E+02  9.999999972E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.633213682E-05  1.186170125E-04  9.682999772E+04  6.189973487E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.147679642E-03  1.813316747E-03  9.682999821E+04 -4.931213219E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.171511948E-04  9.479801064E-05  9.682999976E+04 -3.306529369E-04  2.920000661E+02  2.920000658E+02  1.000000002E+00 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.457791271E-04  1.993390093E-04  9.682999865E+04 -2.638924521E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.817012486E-04  6.535757371E-05  9.682999992E+04 -2.220658292E-04  2.920000027E+02  2.920000025E+02  1.000000002E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.024660033E-04  1.819899449E-04  9.682999978E+04 -2.364095258E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.813631629E-03  1.773703204E-03  9.682999963E+04 -1.952089049E-04  2.919981909E+02  2.919981908E+02  9.999793398E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.750688563E-04  2.257491964E-05  9.682999882E+04 -2.544702531E-04  2.920000994E+02  2.920000992E+02  9.999772963E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.292865423E-04  4.730765167E-05  9.683000039E+04 -2.861216564E-04  2.920066245E+02  2.920066243E+02  1.000000007E+00 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.836844973E-04  1.607276828E-04  9.682999909E+04 -1.370280718E-04  2.919986490E+02  2.919986489E+02  9.999476384E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.746519052E-04  3.574027185E-04  9.683000017E+04 -4.406227251E-05  2.882143313E+02  2.882143313E+02  9.992465948E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.593430718E-05  1.008764197E-04  9.682999996E+04  6.611018348E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.112404780E-02  1.066355086E-02  9.682998815E+04 -1.394106999E-03  2.919999984E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.496374447E-04  3.276729249E-05  9.683000109E+04 -3.197390832E-04  2.920007283E+02  2.920007280E+02  1.000000015E+00 
