nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.388951692E-05  2.598607445E-05  9.682999981E+04  9.821503933E-06  2.919999996E+02  2.919999996E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.013707405E-04  2.132524851E-04  9.682999816E+04 -2.067887193E-04  2.919998064E+02  2.919998063E+02  9.999859839E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.442356425E-04  4.042264500E-05  9.682999822E+04 -2.073361205E-04  2.918743669E+02  2.918743668E+02  9.992285112E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.919765960E-04  2.292901278E-04  9.682999961E+04 -1.827610981E-04  2.919999996E+02  2.919999995E+02  9.999998402E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.671250386E-05  1.185655595E-04  9.682999772E+04  6.147241887E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152524466E-03  1.813566398E-03  9.682999821E+04 -4.977383863E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.869576987E-04  8.224359982E-05  9.682999979E+04 -3.119144725E-04  2.919998374E+02  2.919998372E+02  9.999986147E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.295577018E-04  2.006416899E-04  9.682999867E+04 -2.464824748E-04  2.919999972E+02  2.919999970E+02  9.999999897E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.390332792E-04  3.991601773E-05  9.682999996E+04 -2.026115583E-04  2.919951243E+02  2.919951241E+02  9.999903963E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.010137251E-04  1.845174424E-04  9.682999978E+04 -2.326509442E-04  2.920000005E+02  2.920000003E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816874590E-03  1.775916544E-03  9.682999963E+04 -1.964303751E-04  2.919978269E+02  2.919978269E+02  9.999772884E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.652062613E-04  2.108913654E-05  9.682999883E+04 -2.452032546E-04  2.811067205E+02  2.811067203E+02  9.702045774E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.134508184E-04  5.797103641E-05  9.683000041E+04 -2.603958150E-04  2.910585016E+02  2.910585014E+02  9.979132751E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.694780873E-04  1.819674624E-04  9.682999910E+04 -1.008804025E-04  2.876372074E+02  2.876372074E+02  9.946799178E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.716359553E-04  3.614714311E-04  9.683000017E+04 -3.569147809E-05  2.868818041E+02  2.868818040E+02  9.980737118E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.641468591E-05  1.007710178E-04  9.682999996E+04  6.553370525E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116905762E-02  1.067897534E-02  9.682998811E+04 -1.425042653E-03  2.919999985E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.293994579E-04  4.115706329E-05  9.683000111E+04 -2.918155456E-04  2.917618196E+02  2.917618194E+02  9.999992801E-01 
