nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.379702572E-05  2.599854278E-05  9.682999981E+04  9.925275426E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.025097168E-04  2.141335436E-04  9.682999815E+04 -2.071237464E-04  2.919999359E+02  2.919999358E+02  9.999872704E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.457302995E-04  4.100196602E-05  9.682999822E+04 -2.083011127E-04  2.918675259E+02  2.918675258E+02  9.991135778E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.919499160E-04  2.292515222E-04  9.682999961E+04 -1.827697135E-04  2.919999997E+02  2.919999995E+02  9.999998477E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.659055269E-05  1.185593564E-04  9.682999772E+04  6.158876699E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152364371E-03  1.813610036E-03  9.682999821E+04 -4.975384733E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.865040002E-04  8.162558232E-05  9.682999979E+04 -3.120248307E-04  2.919998243E+02  2.919998241E+02  9.999983158E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.301225812E-04  2.011139525E-04  9.682999867E+04 -2.466164956E-04  2.919999974E+02  2.919999972E+02  9.999999898E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.390609449E-04  4.000273930E-05  9.682999996E+04 -2.025601187E-04  2.919949959E+02  2.919949957E+02  9.999870716E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011353288E-04  1.845785730E-04  9.682999978E+04 -2.327169039E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.817033390E-03  1.776062373E-03  9.682999963E+04 -1.964561376E-04  2.919978158E+02  2.919978158E+02  9.999771270E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.652872259E-04  2.222491558E-05  9.682999883E+04 -2.441825414E-04  2.808025945E+02  2.808025943E+02  9.676005411E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.139181203E-04  5.601733758E-05  9.683000041E+04 -2.626683108E-04  2.911458236E+02  2.911458233E+02  9.972876645E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.720612136E-04  1.847655894E-04  9.682999910E+04 -1.007086665E-04  2.873581898E+02  2.873581897E+02  9.930682132E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.711084558E-04  3.610890582E-04  9.683000017E+04 -3.551585068E-05  2.868788803E+02  2.868788803E+02  9.980641499E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.628593791E-05  1.007587849E-04  9.682999996E+04  6.565120734E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116637029E-02  1.067699198E-02  9.682998811E+04 -1.424165078E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.291872560E-04  4.025176809E-05  9.683000111E+04 -2.924274599E-04  2.917404602E+02  2.917404599E+02  9.999991551E-01 
