nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.370536940E-05  2.582375635E-05  9.682999981E+04  9.857451633E-06  2.919999997E+02  2.919999997E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.035509413E-04  2.162970743E-04  9.682999815E+04 -2.061907789E-04  2.919996500E+02  2.919996498E+02  9.999951207E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.468197960E-04  3.661187486E-05  9.682999822E+04 -2.133985845E-04  2.918715259E+02  2.918715257E+02  9.994568004E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.932195804E-04  2.298195608E-04  9.682999961E+04 -1.835210117E-04  2.919999996E+02  2.919999995E+02  9.999998308E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.643485046E-05  1.185559580E-04  9.682999772E+04  6.174141967E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.151162534E-03  1.813258199E-03  9.682999821E+04 -4.966576757E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.894016692E-04  8.229680712E-05  9.682999979E+04 -3.143100677E-04  2.919998290E+02  2.919998287E+02  9.999986901E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.319016398E-04  2.026715178E-04  9.682999867E+04 -2.469742906E-04  2.919999973E+02  2.919999971E+02  9.999999906E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.409420594E-04  4.005684747E-05  9.682999996E+04 -2.043919362E-04  2.919955031E+02  2.919955029E+02  9.999968178E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.018671523E-04  1.847209900E-04  9.682999978E+04 -2.333187737E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816080093E-03  1.775924817E-03  9.682999963E+04 -1.956285600E-04  2.919978426E+02  2.919978425E+02  9.999773730E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.643241655E-04  2.409116002E-05  9.682999883E+04 -2.415116288E-04  2.814831546E+02  2.814831545E+02  9.724610055E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.180305995E-04  5.543388271E-05  9.683000040E+04 -2.673187017E-04  2.911991402E+02  2.911991399E+02  9.991137617E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.676543832E-04  1.719864348E-04  9.682999910E+04 -1.085185728E-04  2.880227139E+02  2.880227138E+02  9.966182575E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.737760800E-04  3.626015834E-04  9.683000017E+04 -3.679411412E-05  2.868922547E+02  2.868922547E+02  9.980991315E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.612455422E-05  1.007151206E-04  9.682999996E+04  6.577277713E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116064569E-02  1.067815907E-02  9.682998812E+04 -1.417375473E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.309112601E-04  3.848827379E-05  9.683000111E+04 -2.957664993E-04  2.917780771E+02  2.917780769E+02  9.999995900E-01 
