nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.371633762E-05  2.594466467E-05  9.682999981E+04  9.956847163E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.028749728E-04  2.150054625E-04  9.682999815E+04 -2.066935181E-04  2.919999552E+02  2.919999551E+02  9.999901884E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.473148660E-04  4.158429896E-05  9.682999822E+04 -2.093539410E-04  2.918657149E+02  2.918657148E+02  9.991191638E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.918354483E-04  2.291761439E-04  9.682999961E+04 -1.827239743E-04  2.919999997E+02  2.919999995E+02  9.999998521E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.650158375E-05  1.185513342E-04  9.682999772E+04  6.167044229E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152278179E-03  1.813598542E-03  9.682999821E+04 -4.974627895E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.870882399E-04  8.190635231E-05  9.682999979E+04 -3.123527862E-04  2.919998028E+02  2.919998025E+02  9.999977359E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.301381616E-04  2.015154439E-04  9.682999867E+04 -2.462656579E-04  2.919999974E+02  2.919999972E+02  9.999999900E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.388437702E-04  3.966013373E-05  9.682999996E+04 -2.026554990E-04  2.919947663E+02  2.919947662E+02  9.999850379E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011407837E-04  1.845817936E-04  9.682999978E+04 -2.327193994E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816863111E-03  1.776027424E-03  9.682999963E+04 -1.963177337E-04  2.919978051E+02  2.919978051E+02  9.999770361E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.653828679E-04  2.261957001E-05  9.682999883E+04 -2.438940292E-04  2.806875806E+02  2.806875804E+02  9.660457638E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.148527639E-04  5.579938383E-05  9.683000041E+04 -2.638035493E-04  2.911532134E+02  2.911532132E+02  9.970814236E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.740220806E-04  1.865232391E-04  9.682999909E+04 -1.010050944E-04  2.872995215E+02  2.872995214E+02  9.929028728E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.708591827E-04  3.609283583E-04  9.683000017E+04 -3.541389189E-05  2.868772083E+02  2.868772083E+02  9.980612522E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.618359044E-05  1.007316548E-04  9.682999996E+04  6.572888820E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116599869E-02  1.067670073E-02  9.682998811E+04 -1.424059198E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.295834893E-04  4.011872655E-05  9.683000111E+04 -2.929449094E-04  2.917370228E+02  2.917370226E+02  9.999990180E-01 
