nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.297358541E-05  2.563772215E-05  9.682999981E+04  1.041955583E-05  2.919999998E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.150686695E-04  2.107266994E-04  9.682999814E+04 -2.227914034E-04  2.920000005E+02  2.920000003E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.525076421E-04  9.634571115E-06  9.682999821E+04 -2.437165866E-04  2.919997415E+02  2.919997413E+02  9.999995752E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.918387237E-04  2.251193261E-04  9.682999961E+04 -1.864289044E-04  2.919999999E+02  2.919999998E+02  9.999999741E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.649238714E-05  1.185396335E-04  9.682999772E+04  6.166892704E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.147853109E-03  1.813310804E-03  9.682999821E+04 -4.933002740E-04  2.920000012E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.176537383E-04  9.572041354E-05  9.682999976E+04 -3.303138158E-04  2.920000639E+02  2.920000637E+02  9.999999981E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.451153774E-04  1.997723981E-04  9.682999865E+04 -2.628333499E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.788561925E-04  6.366104095E-05  9.682999992E+04 -2.207687980E-04  2.920000025E+02  2.920000024E+02  1.000000002E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.028991985E-04  1.833461579E-04  9.682999978E+04 -2.356051691E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.814000969E-03  1.776288512E-03  9.682999963E+04 -1.932175596E-04  2.919978682E+02  2.919978682E+02  9.999743485E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.758001536E-04  2.224428142E-05  9.682999882E+04 -2.554742578E-04  2.916043420E+02  2.916043418E+02  9.998621118E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.291956391E-04  4.772393027E-05  9.683000039E+04 -2.856508902E-04  2.920065946E+02  2.920065943E+02  1.000000007E+00 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.821277899E-04  1.654598876E-04  9.682999909E+04 -1.310574567E-04  2.918240170E+02  2.918240169E+02  9.997004761E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.740976613E-04  3.606208255E-04  9.683000017E+04 -3.970386668E-05  2.875222912E+02  2.875222912E+02  9.985645328E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.621853741E-05  1.008990354E-04  9.682999996E+04  6.584663049E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.112787371E-02  1.066660114E-02  9.682998815E+04 -1.395149631E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.508059889E-04  3.540934207E-05  9.683000109E+04 -3.184967937E-04  2.920002876E+02  2.920002874E+02  1.000000015E+00 
