nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.364508154E-05  2.566560058E-05  9.682999981E+04  9.773450476E-06  2.919999998E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.040250207E-04  2.114988419E-04  9.682999815E+04 -2.110431673E-04  2.920000022E+02  2.920000020E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.374835853E-04  1.882146356E-05  9.682999823E+04 -2.203066240E-04  2.919474317E+02  2.919474315E+02  9.998503684E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.916080367E-04  2.286802435E-04  9.682999961E+04 -1.829490925E-04  2.919999996E+02  2.919999995E+02  9.999998730E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.636079795E-05  1.185494688E-04  9.682999772E+04  6.180960251E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152396798E-03  1.814296371E-03  9.682999821E+04 -4.969446916E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.994110518E-04  9.036320252E-05  9.682999978E+04 -3.169592595E-04  2.919998527E+02  2.919998525E+02  9.999953637E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.341630240E-04  2.004254478E-04  9.682999866E+04 -2.512850778E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.555115411E-04  5.418674769E-05  9.682999995E+04 -2.060689356E-04  2.919997353E+02  2.919997351E+02  1.000000001E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.005114059E-04  1.842002095E-04  9.682999978E+04 -2.324381639E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.817025572E-03  1.776421889E-03  9.682999963E+04 -1.961203675E-04  2.919978472E+02  2.919978471E+02  9.999763081E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.603807619E-04  2.636257067E-05  9.682999884E+04 -2.359064745E-04  2.870348554E+02  2.870348552E+02  9.978989828E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.176574644E-04  4.926120827E-05  9.683000040E+04 -2.727005482E-04  2.919425847E+02  2.919425844E+02  9.999716620E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.598121926E-04  1.604121138E-04  9.682999911E+04 -1.119088470E-04  2.890382060E+02  2.890382059E+02  9.981836240E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.716132913E-04  3.605164466E-04  9.683000017E+04 -3.654471496E-05  2.868732708E+02  2.868732708E+02  9.980104555E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.608350467E-05  1.007895771E-04  9.682999996E+04  6.588180145E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116799259E-02  1.067979596E-02  9.682998811E+04 -1.423228847E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.331867810E-04  3.880640211E-05  9.683000111E+04 -2.977735495E-04  2.919627540E+02  2.919627538E+02  9.999994099E-01 
