nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373720959E-05  2.572198884E-05  9.682999981E+04  9.732770489E-06  2.919999997E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.034947519E-04  2.129376826E-04  9.682999815E+04 -2.092000660E-04  2.919999907E+02  2.919999906E+02  9.999999597E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.401192950E-04  2.597417734E-05  9.682999823E+04 -2.164110400E-04  2.919033469E+02  2.919033467E+02  9.996530973E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.925779210E-04  2.297026979E-04  9.682999961E+04 -1.829860198E-04  2.919999996E+02  2.919999995E+02  9.999998424E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.632283212E-05  1.185480642E-04  9.682999772E+04  6.184620429E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152206892E-03  1.814040654E-03  9.682999821E+04 -4.969880976E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.909916803E-04  8.471306518E-05  9.682999979E+04 -3.136953060E-04  2.919998604E+02  2.919998602E+02  9.999962551E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.330027045E-04  2.013785809E-04  9.682999867E+04 -2.492551548E-04  2.919999972E+02  2.919999970E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.470422620E-04  4.752403393E-05  9.682999996E+04 -2.036789761E-04  2.919987467E+02  2.919987465E+02  9.999999583E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.009511973E-04  1.846357642E-04  9.682999978E+04 -2.324805059E-04  2.920000005E+02  2.920000003E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.817318836E-03  1.777315669E-03  9.682999963E+04 -1.955981204E-04  2.919978290E+02  2.919978289E+02  9.999767107E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.590978909E-04  2.704339948E-05  9.682999884E+04 -2.336892221E-04  2.836569318E+02  2.836569316E+02  9.907117927E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.170639926E-04  4.994879522E-05  9.683000040E+04 -2.714309168E-04  2.916118336E+02  2.916118334E+02  9.997884829E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.611060793E-04  1.618325210E-04  9.682999911E+04 -1.115363091E-04  2.883505434E+02  2.883505434E+02  9.975055596E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.732129354E-04  3.622992109E-04  9.683000017E+04 -3.644520527E-05  2.868369249E+02  2.868369249E+02  9.980196677E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.600413189E-05  1.007091622E-04  9.682999996E+04  6.588777912E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116832048E-02  1.068025109E-02  9.682998811E+04 -1.423141468E-03  2.919999985E+02  2.919999981E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.281652595E-04  3.776248725E-05  9.683000111E+04 -2.936957755E-04  2.918863858E+02  2.918863856E+02  9.999989225E-01 
