nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.284749716E-05  2.561400673E-05  9.682999981E+04  1.052400054E-05  2.919999998E+02  2.919999998E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.157449059E-04  2.106563669E-04  9.682999814E+04 -2.235317899E-04  2.920000004E+02  2.920000002E+02  9.999999851E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.534521050E-04  9.040835409E-06  9.682999821E+04 -2.452029119E-04  2.919998948E+02  2.919998946E+02  9.999999479E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.909260646E-04  2.246246468E-04  9.682999961E+04 -1.859675851E-04  2.919999999E+02  2.919999998E+02  9.999999928E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.643449591E-05  1.185762853E-04  9.682999772E+04  6.176026881E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.147721450E-03  1.813313711E-03  9.682999821E+04 -4.931659558E-04  2.920000013E+02  2.920000010E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.176911456E-04  9.516409594E-05  9.682999976E+04 -3.308587686E-04  2.920000657E+02  2.920000654E+02  1.000000002E+00 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.458350255E-04  1.994889015E-04  9.682999865E+04 -2.638116724E-04  2.919999973E+02  2.919999971E+02  9.999999907E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.811187017E-04  6.481210666E-05  9.682999992E+04 -2.219809876E-04  2.920000027E+02  2.920000025E+02  1.000000002E+00 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.026807679E-04  1.825920816E-04  9.682999978E+04 -2.360748810E-04  2.920000005E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.813881649E-03  1.774991844E-03  9.682999963E+04 -1.942821423E-04  2.919980087E+02  2.919980087E+02  9.999764804E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.763911147E-04  2.217572430E-05  9.682999882E+04 -2.561512415E-04  2.919265542E+02  2.919265540E+02  9.999476373E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.296108863E-04  4.732315516E-05  9.683000039E+04 -2.864318590E-04  2.920066326E+02  2.920066324E+02  1.000000007E+00 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.835113238E-04  1.621778260E-04  9.682999909E+04 -1.355260584E-04  2.919883298E+02  2.919883297E+02  9.998822361E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.743597442E-04  3.582795335E-04  9.683000017E+04 -4.251985859E-05  2.878448467E+02  2.878448467E+02  9.989422578E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.606791198E-05  1.009147053E-04  9.682999996E+04  6.601152649E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.112459936E-02  1.066354948E-02  9.682998815E+04 -1.394659690E-03  2.919999984E+02  2.919999980E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.505638592E-04  3.364243161E-05  9.683000109E+04 -3.198668304E-04  2.920006877E+02  2.920006874E+02  1.000000015E+00 
