nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.371328851E-05  2.571968695E-05  9.682999981E+04  9.754559495E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.025947775E-04  2.155030684E-04  9.682999815E+04 -2.059592425E-04  2.919999657E+02  2.919999655E+02  9.999950248E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.494804950E-04  4.277393064E-05  9.682999822E+04 -2.104336374E-04  2.918652832E+02  2.918652831E+02  9.992200029E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.917113380E-04  2.291264741E-04  9.682999961E+04 -1.826451908E-04  2.919999996E+02  2.919999995E+02  9.999998573E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.649223199E-05  1.185232166E-04  9.682999772E+04  6.165406166E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152458161E-03  1.813602638E-03  9.682999821E+04 -4.976390475E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.879462424E-04  8.244530290E-05  9.682999979E+04 -3.127191268E-04  2.919998198E+02  2.919998196E+02  9.999978546E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.296496596E-04  2.016999015E-04  9.682999867E+04 -2.456089334E-04  2.919999974E+02  2.919999972E+02  9.999999905E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.380323342E-04  3.876878557E-05  9.682999996E+04 -2.026573669E-04  2.919943673E+02  2.919943671E+02  9.999823923E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011318617E-04  1.845925729E-04  9.682999978E+04 -2.327005995E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816699645E-03  1.776094573E-03  9.682999963E+04 -1.960928685E-04  2.919977816E+02  2.919977816E+02  9.999769264E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.657112935E-04  2.201751177E-05  9.682999883E+04 -2.447998488E-04  2.807666296E+02  2.807666294E+02  9.676247706E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.153444967E-04  5.544358296E-05  9.683000041E+04 -2.646102635E-04  2.910916389E+02  2.910916387E+02  9.973088809E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.757364839E-04  1.880274800E-04  9.682999909E+04 -1.013383918E-04  2.873221827E+02  2.873221826E+02  9.933583617E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.707678129E-04  3.609345466E-04  9.683000017E+04 -3.530567403E-05  2.868681644E+02  2.868681644E+02  9.980461662E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.613718795E-05  1.006402743E-04  9.682999996E+04  6.569183797E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116693269E-02  1.067692784E-02  9.682998811E+04 -1.424785980E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.303035199E-04  4.087332637E-05  9.683000111E+04 -2.929774391E-04  2.917510354E+02  2.917510352E+02  9.999990434E-01 
