nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature      phase-1-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.364987109E-05  2.585373837E-05  9.682999981E+04  9.940389662E-06  2.919999995E+02  2.919999995E+02  9.999999981E-01 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.029179428E-04  2.155683652E-04  9.682999815E+04 -2.062228805E-04  2.919999658E+02  2.919999656E+02  9.999935385E-01 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.488768687E-04  4.229250225E-05  9.682999822E+04 -2.102693622E-04  2.918650408E+02  2.918650406E+02  9.991713048E-01 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.918040185E-04  2.291350122E-04  9.682999961E+04 -1.827300495E-04  2.919999997E+02  2.919999995E+02  9.999998551E-01 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.643986687E-05  1.185402451E-04  9.682999772E+04  6.172201777E-05  2.919999933E+02  2.919999933E+02  9.999999769E-01 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.152380668E-03  1.813635032E-03  9.682999821E+04 -4.975319606E-04  2.920000012E+02  2.920000009E+02  1.000000004E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.877566002E-04  8.229259845E-05  9.682999979E+04 -3.126688018E-04  2.919997978E+02  2.919997975E+02  9.999973950E-01 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.299566617E-04  2.017561696E-04  9.682999867E+04 -2.458644880E-04  2.919999974E+02  2.919999972E+02  9.999999903E-01 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.384464239E-04  3.912838841E-05  9.682999996E+04 -2.027433892E-04  2.919945153E+02  2.919945152E+02  9.999828943E-01 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.011943209E-04  1.845871651E-04  9.682999978E+04 -2.327680530E-04  2.920000006E+02  2.920000004E+02  1.000000002E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.816694473E-03  1.775995715E-03  9.682999963E+04 -1.961778401E-04  2.919977921E+02  2.919977920E+02  9.999769449E-01 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.655247913E-04  2.247116875E-05  9.682999883E+04 -2.441779753E-04  2.807052717E+02  2.807052715E+02  9.665149549E-01 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.154382701E-04  5.558061270E-05  9.683000041E+04 -2.645878567E-04  2.911472550E+02  2.911472548E+02  9.970772368E-01 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.755265667E-04  1.878834676E-04  9.682999909E+04 -1.012384842E-04  2.872831456E+02  2.872831455E+02  9.930690753E-01 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.707977800E-04  3.608718036E-04  9.683000017E+04 -3.539832518E-05  2.868716386E+02  2.868716386E+02  9.980543392E-01 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.610303220E-05  1.006952784E-04  9.682999996E+04  6.577624741E-05  2.920000000E+02  2.920000000E+02  9.999999999E-01 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.116470260E-02  1.067704905E-02  9.682998811E+04 -1.422445244E-03  2.919999983E+02  2.919999979E+02  9.999999925E-01 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.300721708E-04  4.039786632E-05  9.683000111E+04 -2.931793903E-04  2.917434623E+02  2.917434621E+02  9.999989269E-01 
