nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.374037187E-05  2.599763504E-05  9.682999981E+04  9.981137593E-06  2.919999995E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.061847547E-04  2.132680862E-04  9.682999815E+04 -2.115884720E-04  2.919998487E+02  2.919998486E+02  1.224999982E+00  9.999889251E-01  1.224999982E+00  1.106000261E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.492925478E-04  4.085786701E-05  9.682999822E+04 -2.119952971E-04  2.918709698E+02  2.918709696E+02  1.224999981E+00  9.992611280E-01  1.224999981E+00  7.388561864E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.948405313E-04  2.293982795E-04  9.682999961E+04 -1.855263171E-04  2.920000011E+02  2.920000010E+02  1.225000000E+00  9.999998291E-01  1.225000000E+00  1.709441448E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.642294829E-05  1.185669945E-04  9.682999772E+04  6.176329428E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148721528E-03  1.813533320E-03  9.682999821E+04 -4.939656030E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.931749895E-04  8.230789186E-05  9.682999979E+04 -3.180731938E-04  2.919998352E+02  2.919998349E+02  1.225000002E+00  9.999987566E-01  1.225000002E+00  1.245308394E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.342996771E-04  2.006365987E-04  9.682999866E+04 -2.512291003E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  6.572428146E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.434960234E-04  3.970224482E-05  9.682999996E+04 -2.072693557E-04  2.919949111E+02  2.919949110E+02  1.225000003E+00  9.999926282E-01  1.225000003E+00  7.373893720E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036314575E-04  1.845286304E-04  9.682999978E+04 -2.352586350E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815489502E-03  1.776000986E-03  9.682999963E+04 -1.949692717E-04  2.919980308E+02  2.919980308E+02  1.225000018E+00  9.999773184E-01  1.225000018E+00  2.269650454E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.718470514E-04  2.102334127E-05  9.682999883E+04 -2.518782231E-04  2.807184977E+02  2.807184975E+02  1.224999989E+00  9.697968963E-01  1.224999989E+00  3.020309440E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.183476661E-04  5.781345687E-05  9.683000040E+04 -2.654354958E-04  2.910456595E+02  2.910456593E+02  1.225000009E+00  9.983878428E-01  1.225000009E+00  1.612164657E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.747977211E-04  1.826278348E-04  9.682999909E+04 -1.055272925E-04  2.875340531E+02  2.875340531E+02  1.224999992E+00  9.946401110E-01  1.224999992E+00  5.359882482E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.746755291E-04  3.615177800E-04  9.683000017E+04 -3.868012052E-05  2.868747898E+02  2.868747898E+02  1.225000007E+00  9.980720749E-01  1.225000007E+00  1.927930735E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.618375655E-05  1.007771464E-04  9.682999996E+04  6.577023728E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113928504E-02  1.067821233E-02  9.682998814E+04 -1.395966301E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.277059856E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.360065665E-04  4.129974973E-05  9.683000111E+04 -2.982915338E-04  2.917549450E+02  2.917549447E+02  1.225000018E+00  9.999994095E-01  1.225000018E+00  6.054264592E-07 
