nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.350077635E-05  2.583306315E-05  9.682999981E+04  1.007050649E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075010369E-04  2.156278996E-04  9.682999815E+04 -2.107516474E-04  2.919999657E+02  2.919999655E+02  1.224999982E+00  9.999923621E-01  1.224999982E+00  7.622961217E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.538111281E-04  4.256982286E-05  9.682999821E+04 -2.149503632E-04  2.918642900E+02  2.918642899E+02  1.224999981E+00  9.991746665E-01  1.224999981E+00  8.253176999E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943553133E-04  2.291228639E-04  9.682999961E+04 -1.852924479E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998549E-01  1.225000000E+00  1.450990737E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.615989635E-05  1.185391883E-04  9.682999772E+04  6.200102210E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148705244E-03  1.813620344E-03  9.682999821E+04 -4.938699508E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.937372269E-04  8.238564869E-05  9.682999979E+04 -3.185644782E-04  2.919997991E+02  2.919997989E+02  1.225000002E+00  9.999975076E-01  1.225000002E+00  2.494294261E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.344913461E-04  2.017727662E-04  9.682999866E+04 -2.503840510E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999902E-01  1.224999989E+00  4.803180416E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.427031434E-04  3.891650859E-05  9.682999996E+04 -2.071933503E-04  2.919943978E+02  2.919943976E+02  1.225000003E+00  9.999841073E-01  1.225000003E+00  1.589484212E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035945666E-04  1.845826924E-04  9.682999978E+04 -2.351724026E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815253053E-03  1.776022185E-03  9.682999963E+04 -1.947133276E-04  2.919979935E+02  2.919979935E+02  1.225000018E+00  9.999769269E-01  1.225000018E+00  2.308799817E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.718308203E-04  2.231201559E-05  9.682999883E+04 -2.506074333E-04  2.803467257E+02  2.803467254E+02  1.224999989E+00  9.668396183E-01  1.224999989E+00  3.316037238E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202884010E-04  5.550477927E-05  9.683000040E+04 -2.695034232E-04  2.911242690E+02  2.911242688E+02  1.225000009E+00  9.971533014E-01  1.225000009E+00  2.846706023E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.804330661E-04  1.880628897E-04  9.682999909E+04 -1.059672471E-04  2.872647395E+02  2.872647394E+02  1.224999992E+00  9.929927238E-01  1.224999992E+00  7.007269686E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.735729645E-04  3.608669371E-04  9.683000017E+04 -3.817996476E-05  2.868731469E+02  2.868731468E+02  1.225000007E+00  9.980527132E-01  1.225000007E+00  1.947292422E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.587710908E-05  1.006890290E-04  9.682999996E+04  6.599643978E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113855603E-02  1.067759772E-02  9.682998814E+04 -1.395798066E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.295763347E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.364179238E-04  4.057675323E-05  9.683000111E+04 -2.993615165E-04  2.917407588E+02  2.917407586E+02  1.225000018E+00  9.999989617E-01  1.225000018E+00  1.053200536E-06 
