nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.368687539E-05  2.587090033E-05  9.682999981E+04  9.919016520E-06  2.919999996E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.059389496E-04  2.153514838E-04  9.682999815E+04 -2.094414616E-04  2.919993935E+02  2.919993933E+02  1.224999982E+00  9.999920865E-01  1.224999982E+00  7.898581441E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.502562948E-04  3.959789823E-05  9.682999822E+04 -2.141091222E-04  2.918702942E+02  2.918702941E+02  1.224999981E+00  9.994056044E-01  1.224999981E+00  5.943797964E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.949721654E-04  2.296748152E-04  9.682999961E+04 -1.854056496E-04  2.920000012E+02  2.920000011E+02  1.225000000E+00  9.999998161E-01  1.225000000E+00  1.839237634E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.631775994E-05  1.185623642E-04  9.682999772E+04  6.186436451E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148391684E-03  1.813343186E-03  9.682999821E+04 -4.938093189E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.942347462E-04  8.291936483E-05  9.682999979E+04 -3.185750134E-04  2.919997784E+02  2.919997781E+02  1.225000002E+00  9.999985777E-01  1.225000002E+00  1.424153775E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.342330652E-04  2.018810850E-04  9.682999866E+04 -2.500270001E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999904E-01  1.224999989E+00  2.869844504E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.431776666E-04  3.910221754E-05  9.682999996E+04 -2.074984894E-04  2.919946722E+02  2.919946720E+02  1.225000003E+00  9.999954851E-01  1.225000003E+00  4.516964885E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035266840E-04  1.845766774E-04  9.682999978E+04 -2.351098535E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815041119E-03  1.775867654E-03  9.682999963E+04 -1.946426346E-04  2.919980501E+02  2.919980501E+02  1.225000018E+00  9.999774485E-01  1.225000018E+00  2.256639863E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.702421962E-04  2.250418680E-05  9.682999883E+04 -2.488900515E-04  2.809600318E+02  2.809600316E+02  1.224999989E+00  9.718248821E-01  1.224999989E+00  2.817510861E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.207208729E-04  5.811741571E-05  9.683000040E+04 -2.675239794E-04  2.910287046E+02  2.910287044E+02  1.225000009E+00  9.988855416E-01  1.225000009E+00  1.114465841E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.726237636E-04  1.764831030E-04  9.682999910E+04 -1.092206554E-04  2.878379201E+02  2.878379201E+02  1.224999992E+00  9.962205439E-01  1.224999992E+00  3.779449532E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.755317338E-04  3.622662357E-04  9.683000017E+04 -3.885154967E-05  2.868835636E+02  2.868835636E+02  1.225000007E+00  9.980988671E-01  1.225000007E+00  1.901138512E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.606093583E-05  1.007336535E-04  9.682999996E+04  6.585328546E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113843447E-02  1.067752315E-02  9.682998814E+04 -1.395744548E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.557434721E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.363619122E-04  4.012333813E-05  9.683000111E+04 -2.997231090E-04  2.917692722E+02  2.917692720E+02  1.225000018E+00  9.999995706E-01  1.225000018E+00  4.442814933E-07 
