nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.350372705E-05  2.585199655E-05  9.682999981E+04  1.008489296E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075311612E-04  2.156004343E-04  9.682999815E+04 -2.108068233E-04  2.919999659E+02  2.919999658E+02  1.224999982E+00  9.999917674E-01  1.224999982E+00  8.217741465E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.536467805E-04  4.247021064E-05  9.682999821E+04 -2.148769508E-04  2.918643316E+02  2.918643314E+02  1.224999981E+00  9.991671398E-01  1.224999981E+00  8.328443299E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943608483E-04  2.291256661E-04  9.682999961E+04 -1.852954518E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998544E-01  1.225000000E+00  1.455717892E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.616282908E-05  1.185413833E-04  9.682999772E+04  6.200013446E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148702065E-03  1.813620206E-03  9.682999821E+04 -4.938669265E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.936663987E-04  8.234419767E-05  9.682999979E+04 -3.185314847E-04  2.919997968E+02  2.919997966E+02  1.225000002E+00  9.999975013E-01  1.225000002E+00  2.500586279E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.345289697E-04  2.017634018E-04  9.682999866E+04 -2.504303091E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999902E-01  1.224999989E+00  5.231579723E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.427644378E-04  3.898760399E-05  9.682999996E+04 -2.071898692E-04  2.919944290E+02  2.919944288E+02  1.225000003E+00  9.999845383E-01  1.225000003E+00  1.546383732E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035921826E-04  1.845815135E-04  9.682999978E+04 -2.351710241E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815272889E-03  1.776015954E-03  9.682999963E+04 -1.947388244E-04  2.919979956E+02  2.919979955E+02  1.225000018E+00  9.999769377E-01  1.225000018E+00  2.307720764E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.717945985E-04  2.236957419E-05  9.682999883E+04 -2.505157509E-04  2.803378547E+02  2.803378545E+02  1.224999989E+00  9.666769243E-01  1.224999989E+00  3.332306642E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202497434E-04  5.553197885E-05  9.683000040E+04 -2.694410361E-04  2.911314086E+02  2.911314084E+02  1.225000009E+00  9.971823760E-01  1.225000009E+00  2.817631483E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.803261042E-04  1.879832737E-04  9.682999909E+04 -1.059321395E-04  2.872614241E+02  2.872614240E+02  1.224999992E+00  9.929338641E-01  1.224999992E+00  7.066129367E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.735725781E-04  3.608637137E-04  9.683000017E+04 -3.818343346E-05  2.868738641E+02  2.868738641E+02  1.225000007E+00  9.980537675E-01  1.225000007E+00  1.946238094E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.588314476E-05  1.006962953E-04  9.682999996E+04  6.599702901E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113851866E-02  1.067756172E-02  9.682998814E+04 -1.395793560E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.313672184E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.363561269E-04  4.050746064E-05  9.683000111E+04 -2.993628359E-04  2.917394648E+02  2.917394646E+02  1.225000018E+00  9.999989688E-01  1.225000018E+00  1.046135367E-06 
