nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.369697688E-05  2.603040337E-05  9.682999981E+04  1.005436590E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.068850237E-04  2.136627057E-04  9.682999815E+04 -2.119287881E-04  2.919999325E+02  2.919999324E+02  1.224999982E+00  9.999879890E-01  1.224999982E+00  1.199614028E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.499288324E-04  4.099582568E-05  9.682999822E+04 -2.125050618E-04  2.918674490E+02  2.918674489E+02  1.224999981E+00  9.991759470E-01  1.224999981E+00  8.240371606E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.947237348E-04  2.293086933E-04  9.682999961E+04 -1.854913480E-04  2.920000010E+02  2.920000009E+02  1.225000000E+00  9.999998390E-01  1.225000000E+00  1.609645073E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.635777048E-05  1.185656873E-04  9.682999772E+04  6.182724453E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148730742E-03  1.813590940E-03  9.682999821E+04 -4.939223189E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.924434259E-04  8.171355214E-05  9.682999979E+04 -3.178840092E-04  2.919998312E+02  2.919998309E+02  1.225000002E+00  9.999987343E-01  1.225000002E+00  1.267570429E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.346479796E-04  2.008654920E-04  9.682999866E+04 -2.513685161E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  7.349497664E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.435804354E-04  3.997568340E-05  9.682999996E+04 -2.071044076E-04  2.919949533E+02  2.919949531E+02  1.225000003E+00  9.999906465E-01  1.225000003E+00  9.355588499E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036515681E-04  1.845593812E-04  9.682999978E+04 -2.352506753E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815602349E-03  1.776074559E-03  9.682999963E+04 -1.950149694E-04  2.919980245E+02  2.919980245E+02  1.225000018E+00  9.999771963E-01  1.225000018E+00  2.281863583E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.716866085E-04  2.171717049E-05  9.682999883E+04 -2.510419636E-04  2.805059079E+02  2.805059077E+02  1.224999989E+00  9.691949367E-01  1.224999989E+00  3.080505398E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.183487971E-04  5.628664406E-05  9.683000040E+04 -2.668470608E-04  2.911135799E+02  2.911135797E+02  1.225000009E+00  9.981437286E-01  1.225000009E+00  1.856278832E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.761707832E-04  1.843053574E-04  9.682999909E+04 -1.052448796E-04  2.873600801E+02  2.873600800E+02  1.224999992E+00  9.934972526E-01  1.224999992E+00  6.502740835E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.741826084E-04  3.611859478E-04  9.683000017E+04 -3.849752478E-05  2.868766022E+02  2.868766022E+02  1.225000007E+00  9.980625664E-01  1.225000007E+00  1.937439208E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.611656748E-05  1.007762514E-04  9.682999996E+04  6.583649971E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113919978E-02  1.067815645E-02  9.682998814E+04 -1.395932041E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.913116665E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.355114490E-04  4.064598007E-05  9.683000111E+04 -2.983915469E-04  2.917396622E+02  2.917396620E+02  1.225000018E+00  9.999993171E-01  1.225000018E+00  6.978320265E-07 
