nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.350249571E-05  2.584552707E-05  9.682999981E+04  1.008025270E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075215624E-04  2.156118665E-04  9.682999815E+04 -2.107867238E-04  2.919999659E+02  2.919999657E+02  1.224999982E+00  9.999919704E-01  1.224999982E+00  8.014673669E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.537061136E-04  4.250565657E-05  9.682999821E+04 -2.149039585E-04  2.918643153E+02  2.918643151E+02  1.224999981E+00  9.991696897E-01  1.224999981E+00  8.302944220E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943586153E-04  2.291245794E-04  9.682999961E+04 -1.852942137E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998546E-01  1.225000000E+00  1.454027757E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.616162097E-05  1.185406350E-04  9.682999772E+04  6.200065890E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148703147E-03  1.813620351E-03  9.682999821E+04 -4.938679222E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.936921896E-04  8.235933891E-05  9.682999979E+04 -3.185435175E-04  2.919997976E+02  2.919997973E+02  1.225000002E+00  9.999975009E-01  1.225000002E+00  2.500975664E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.345160580E-04  2.017675194E-04  9.682999866E+04 -2.504135897E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999902E-01  1.224999989E+00  5.088320202E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.427426912E-04  3.896249687E-05  9.682999996E+04 -2.071908584E-04  2.919944179E+02  2.919944177E+02  1.225000003E+00  9.999843891E-01  1.225000003E+00  1.561298232E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035928551E-04  1.845819093E-04  9.682999978E+04 -2.351714489E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815265895E-03  1.776017928E-03  9.682999963E+04 -1.947300495E-04  2.919979948E+02  2.919979948E+02  1.225000018E+00  9.999769337E-01  1.225000018E+00  2.308117302E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.718067726E-04  2.235025167E-05  9.682999883E+04 -2.505465622E-04  2.803408818E+02  2.803408816E+02  1.224999989E+00  9.667319410E-01  1.224999989E+00  3.326804966E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202648183E-04  5.552147060E-05  9.683000040E+04 -2.694652938E-04  2.911291060E+02  2.911291058E+02  1.225000009E+00  9.971716760E-01  1.225000009E+00  2.828331417E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.803662240E-04  1.880141514E-04  9.682999909E+04 -1.059441816E-04  2.872624373E+02  2.872624373E+02  1.224999992E+00  9.929531470E-01  1.224999992E+00  7.046846496E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.735722045E-04  3.608645503E-04  9.683000017E+04 -3.818189223E-05  2.868736088E+02  2.868736088E+02  1.225000007E+00  9.980534031E-01  1.225000007E+00  1.946602528E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.588087352E-05  1.006938188E-04  9.682999996E+04  6.599701877E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113853058E-02  1.067757330E-02  9.682998814E+04 -1.395794834E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.307245255E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.363781183E-04  4.053109532E-05  9.683000111E+04 -2.993632764E-04  2.917399160E+02  2.917399158E+02  1.225000018E+00  9.999989656E-01  1.225000018E+00  1.049276472E-06 
