nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.351570827E-05  2.589011653E-05  9.682999981E+04  1.010764552E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075661394E-04  2.154888786E-04  9.682999815E+04 -2.109436193E-04  2.919999656E+02  2.919999655E+02  1.224999982E+00  9.999905963E-01  1.224999982E+00  9.388826585E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.532343240E-04  4.223816871E-05  9.682999821E+04 -2.146763883E-04  2.918644509E+02  2.918644507E+02  1.224999981E+00  9.991528620E-01  1.224999981E+00  8.471222115E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943825589E-04  2.291354932E-04  9.682999961E+04 -1.853082125E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998532E-01  1.225000000E+00  1.467508239E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.617428681E-05  1.185457852E-04  9.682999772E+04  6.199260620E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148695959E-03  1.813617685E-03  9.682999821E+04 -4.938630968E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.934807906E-04  8.223508885E-05  9.682999979E+04 -3.184454852E-04  2.919997938E+02  2.919997936E+02  1.225000002E+00  9.999975598E-01  1.225000002E+00  2.442081416E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.346026097E-04  2.017193123E-04  9.682999866E+04 -2.505441148E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999901E-01  1.224999989E+00  6.001637302E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.429037815E-04  3.915075834E-05  9.682999996E+04 -2.071802871E-04  2.919945014E+02  2.919945013E+02  1.225000003E+00  9.999854453E-01  1.225000003E+00  1.455674781E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035920098E-04  1.845796995E-04  9.682999978E+04 -2.351725043E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815318311E-03  1.776007756E-03  9.682999963E+04 -1.947917667E-04  2.919980001E+02  2.919980001E+02  1.225000018E+00  9.999769665E-01  1.225000018E+00  2.304839157E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.717257919E-04  2.247316445E-05  9.682999883E+04 -2.503473657E-04  2.803212282E+02  2.803212280E+02  1.224999989E+00  9.663905764E-01  1.224999989E+00  3.360941424E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.201238266E-04  5.561070775E-05  9.683000040E+04 -2.692449545E-04  2.911417276E+02  2.911417274E+02  1.225000009E+00  9.972654444E-01  1.225000009E+00  2.734563044E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.800080919E-04  1.877135669E-04  9.682999909E+04 -1.058622451E-04  2.872581659E+02  2.872581658E+02  1.224999992E+00  9.928412715E-01  1.224999992E+00  7.158721967E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.735872321E-04  3.608653812E-04  9.683000017E+04 -3.819853698E-05  2.868755174E+02  2.868755173E+02  1.225000007E+00  9.980559670E-01  1.225000007E+00  1.944038592E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.590094942E-05  1.007108239E-04  9.682999996E+04  6.599245960E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113847004E-02  1.067751247E-02  9.682998814E+04 -1.395789855E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.358724294E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.362082342E-04  4.037205365E-05  9.683000111E+04 -2.993382549E-04  2.917367111E+02  2.917367109E+02  1.225000018E+00  9.999990019E-01  1.225000018E+00  1.013033052E-06 
