nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.351299123E-05  2.575213693E-05  9.682999981E+04  9.984444626E-06  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073697579E-04  2.155646527E-04  9.682999815E+04 -2.106780805E-04  2.919999650E+02  2.919999648E+02  1.224999982E+00  9.999945533E-01  1.224999982E+00  5.431819900E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.541551306E-04  4.280410430E-05  9.682999821E+04 -2.150805425E-04  2.918645331E+02  2.918645329E+02  1.224999981E+00  9.992069690E-01  1.224999981E+00  7.930151801E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943644552E-04  2.291160973E-04  9.682999961E+04 -1.853078338E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998564E-01  1.225000000E+00  1.436475646E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.617022188E-05  1.185293126E-04  9.682999772E+04  6.198157029E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148722963E-03  1.813612093E-03  9.682999821E+04 -4.938951692E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.938878824E-04  8.245896655E-05  9.682999979E+04 -3.186483913E-04  2.919998117E+02  2.919998114E+02  1.225000002E+00  9.999977377E-01  1.225000002E+00  2.264173364E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.343758528E-04  2.017297178E-04  9.682999866E+04 -2.503078610E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999904E-01  1.224999989E+00  2.818589746E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.425807297E-04  3.874667922E-05  9.682999996E+04 -2.072259668E-04  2.919943374E+02  2.919943372E+02  1.225000003E+00  9.999826628E-01  1.225000003E+00  1.733929357E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036196620E-04  1.845845076E-04  9.682999978E+04 -2.351958461E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815195486E-03  1.776065878E-03  9.682999963E+04 -1.946157986E-04  2.919979871E+02  2.919979870E+02  1.225000018E+00  9.999769123E-01  1.225000018E+00  2.310258833E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.720025222E-04  2.206645855E-05  9.682999883E+04 -2.510151098E-04  2.803794665E+02  2.803794663E+02  1.224999989E+00  9.674573599E-01  1.224999989E+00  3.254263080E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202454440E-04  5.546059132E-05  9.683000040E+04 -2.694951174E-04  2.910889982E+02  2.910889980E+02  1.225000009E+00  9.971115136E-01  1.225000009E+00  2.888493889E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.805735407E-04  1.881057973E-04  9.682999909E+04 -1.060818891E-04  2.872879438E+02  2.872879437E+02  1.224999992E+00  9.932662602E-01  1.224999992E+00  6.733733282E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736164243E-04  3.608976930E-04  9.683000017E+04 -3.819265213E-05  2.868714741E+02  2.868714741E+02  1.225000007E+00  9.980486811E-01  1.225000007E+00  1.951324533E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.587418879E-05  1.006565484E-04  9.682999996E+04  6.596974403E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113878268E-02  1.067780231E-02  9.682998814E+04 -1.395838008E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.244058939E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.365959454E-04  4.083387129E-05  9.683000111E+04 -2.993051569E-04  2.917447232E+02  2.917447229E+02  1.225000018E+00  9.999989997E-01  1.225000018E+00  1.015164145E-06 
