nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.376995447E-05  2.580225298E-05  9.682999981E+04  9.773252824E-06  2.919999997E+02  2.919999997E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.077842161E-04  2.161651494E-04  9.682999815E+04 -2.105444989E-04  2.919997872E+02  2.919997870E+02  1.224999982E+00  9.999978715E-01  1.224999982E+00  2.113617090E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.494289202E-04  3.416022118E-05  9.682999822E+04 -2.182457297E-04  2.918722076E+02  2.918722074E+02  1.224999981E+00  9.995164128E-01  1.224999981E+00  4.835713538E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.953322933E-04  2.301465839E-04  9.682999960E+04 -1.853353213E-04  2.920000012E+02  2.920000011E+02  1.225000000E+00  9.999998184E-01  1.225000000E+00  1.815909634E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.617126640E-05  1.185588171E-04  9.682999772E+04  6.200765213E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148168203E-03  1.813349649E-03  9.682999821E+04 -4.935798244E-04  2.920000012E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.937066481E-04  8.208052316E-05  9.682999979E+04 -3.188123954E-04  2.919998362E+02  2.919998359E+02  1.225000002E+00  9.999983866E-01  1.225000002E+00  1.615247684E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.362437528E-04  2.028207154E-04  9.682999866E+04 -2.511803103E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  3.495176239E-11 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.454837382E-04  4.135485159E-05  9.682999996E+04 -2.077492259E-04  2.919962757E+02  2.919962755E+02  1.225000003E+00  9.999982399E-01  1.225000003E+00  1.762233460E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035932388E-04  1.847927214E-04  9.682999978E+04 -2.349794198E-04  2.920000006E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815050985E-03  1.775954581E-03  9.682999963E+04 -1.945731954E-04  2.919980535E+02  2.919980534E+02  1.225000018E+00  9.999771279E-01  1.225000018E+00  2.288697215E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.678414003E-04  2.502628849E-05  9.682999883E+04 -2.441241464E-04  2.812392840E+02  2.812392838E+02  1.224999989E+00  9.730769348E-01  1.224999989E+00  2.692305589E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.219525115E-04  5.353812655E-05  9.683000040E+04 -2.729845440E-04  2.912579095E+02  2.912579093E+02  1.225000009E+00  9.993025379E-01  1.225000009E+00  6.974695622E-04 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.699430918E-04  1.691667217E-04  9.682999910E+04 -1.134062853E-04  2.880044699E+02  2.880044698E+02  1.224999992E+00  9.968307838E-01  1.224999992E+00  3.169209637E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.761250916E-04  3.627501153E-04  9.683000016E+04 -3.897729138E-05  2.868682054E+02  2.868682054E+02  1.225000007E+00  9.980807245E-01  1.225000007E+00  1.919281087E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.589899642E-05  1.007018907E-04  9.682999996E+04  6.598627977E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113846846E-02  1.067767662E-02  9.682998814E+04 -1.395638429E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.346684876E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.348872360E-04  3.748000776E-05  9.683000111E+04 -3.006635837E-04  2.917808067E+02  2.917808064E+02  1.225000018E+00  9.999994760E-01  1.225000018E+00  5.389033738E-07 
