nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.257017310E-05  2.568459319E-05  9.682999981E+04  1.086569865E-05  2.920000000E+02  2.920000000E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.085240524E-04  2.105904179E-04  9.682999815E+04 -2.163711315E-04  2.919999995E+02  2.919999994E+02  1.224999982E+00  9.999999851E-01  1.224999982E+00  7.572569459E-44 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.470201805E-04  6.541586898E-06  9.682999822E+04 -2.410513400E-04  2.919999014E+02  2.919999012E+02  1.224999981E+00  9.999999842E-01  1.224999981E+00  9.327913082E-17 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.821410811E-04  2.028395928E-04  9.682999962E+04 -1.970604319E-04  2.919999999E+02  2.919999998E+02  1.225000000E+00  1.000000000E+00  1.225000000E+00  3.274998328E-14 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.572919863E-05  1.178109793E-04  9.682999772E+04  6.176732064E-05  2.919999932E+02  2.919999932E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.157729634E-03  1.831273372E-03  9.682999820E+04 -4.867868597E-04  2.920000012E+02  2.920000009E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.075461138E-04  9.383821072E-05  9.682999977E+04 -3.219235744E-04  2.920000625E+02  2.920000623E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  2.899780323E-23 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.387496235E-04  2.008547716E-04  9.682999866E+04 -2.554799445E-04  2.919999972E+02  2.919999970E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  7.135350036E-56 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.796726382E-04  6.775254078E-05  9.682999992E+04 -2.178518934E-04  2.920000028E+02  2.920000027E+02  1.225000003E+00  1.000000002E+00  1.225000003E+00  4.777361002E-27 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -3.967405408E-04  1.826207271E-04  9.682999978E+04 -2.301084961E-04  2.920000005E+02  2.920000003E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.802389016E-03  1.745536022E-03  9.682999964E+04 -2.096772013E-04  2.920000048E+02  2.920000047E+02  1.225000018E+00  9.999998670E-01  1.225000018E+00  1.479316836E-07 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.549513044E-04  2.322271336E-05  9.682999884E+04 -2.337646507E-04  2.920381974E+02  2.920381972E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  3.441642359E-11 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.200490472E-04  4.921199730E-05  9.683000040E+04 -2.751465741E-04  2.920061408E+02  2.920061405E+02  1.225000009E+00  1.000000007E+00  1.225000009E+00  1.327797782E-24 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.771232893E-04  1.525993380E-04  9.682999909E+04 -1.378840653E-04  2.919997409E+02  2.919997408E+02  1.224999992E+00  9.999999931E-01  1.224999992E+00  3.362781989E-10 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.750179265E-04  3.259120604E-04  9.683000017E+04 -7.759538497E-05  2.919591394E+02  2.919591393E+02  1.225000007E+00  9.999999974E-01  1.225000007E+00  8.201265640E-09 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.519400193E-05  9.842548709E-05  9.682999996E+04  6.461419877E-05  2.919999999E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.111898540E-02  1.066075650E-02  9.682998816E+04 -1.391594141E-03  2.919999983E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.334477094E-33 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.370083221E-04  3.077369028E-05  9.683000111E+04 -3.089289514E-04  2.920006784E+02  2.920006782E+02  1.225000018E+00  1.000000015E+00  1.225000018E+00  6.258975423E-21 
