nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.370208996E-05  2.582640713E-05  9.682999981E+04  9.863221083E-06  2.919999996E+02  2.919999997E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.065981125E-04  2.162785916E-04  9.682999815E+04 -2.092547316E-04  2.919994656E+02  2.919994654E+02  1.224999982E+00  9.999953642E-01  1.224999982E+00  4.620947835E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.501532506E-04  3.738767516E-05  9.682999822E+04 -2.160237043E-04  2.918692957E+02  2.918692955E+02  1.224999981E+00  9.994624164E-01  1.224999981E+00  5.375677320E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.951032085E-04  2.299080582E-04  9.682999960E+04 -1.853239119E-04  2.920000012E+02  2.920000011E+02  1.225000000E+00  9.999998159E-01  1.225000000E+00  1.841335410E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.623293762E-05  1.185608189E-04  9.682999772E+04  6.194771389E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148206058E-03  1.813286885E-03  9.682999821E+04 -4.936750176E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.938509677E-04  8.245898770E-05  9.682999979E+04 -3.186113231E-04  2.919997913E+02  2.919997911E+02  1.225000002E+00  9.999985886E-01  1.225000002E+00  1.413285264E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.348887650E-04  2.025878338E-04  9.682999866E+04 -2.500377631E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999906E-01  1.224999989E+00  1.169250540E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.437069550E-04  3.972034608E-05  9.682999996E+04 -2.074637689E-04  2.919951361E+02  2.919951360E+02  1.225000003E+00  9.999969235E-01  1.225000003E+00  3.078563364E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035118092E-04  1.846740655E-04  9.682999978E+04 -2.350062034E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815012032E-03  1.775905569E-03  9.682999963E+04 -1.945790230E-04  2.919980598E+02  2.919980597E+02  1.225000018E+00  9.999773542E-01  1.225000018E+00  2.266068210E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.689790198E-04  2.389451346E-05  9.682999883E+04 -2.463217312E-04  2.811050417E+02  2.811050415E+02  1.224999989E+00  9.725755398E-01  1.224999989E+00  2.742445090E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.213253571E-04  5.597513465E-05  9.683000040E+04 -2.701074919E-04  2.911355991E+02  2.911355989E+02  1.225000009E+00  9.991235144E-01  1.225000009E+00  8.764930447E-04 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.713131645E-04  1.729693063E-04  9.682999910E+04 -1.112145043E-04  2.879280340E+02  2.879280339E+02  1.224999992E+00  9.965897667E-01  1.224999992E+00  3.410226748E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.758419876E-04  3.625335318E-04  9.683000017E+04 -3.891003029E-05  2.868805788E+02  2.868805788E+02  1.225000007E+00  9.980957644E-01  1.225000007E+00  1.904241148E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.596665497E-05  1.007126386E-04  9.682999996E+04  6.592838634E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113836052E-02  1.067754888E-02  9.682998814E+04 -1.395647088E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.481236684E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.357352894E-04  3.867046969E-05  9.683000111E+04 -3.004232749E-04  2.917692818E+02  2.917692816E+02  1.225000018E+00  9.999995579E-01  1.225000018E+00  4.570184993E-07 
