nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.350111790E-05  2.583611860E-05  9.682999981E+04  1.007301194E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075062800E-04  2.156246890E-04  9.682999815E+04 -2.107598227E-04  2.919999657E+02  2.919999656E+02  1.224999982E+00  9.999922662E-01  1.224999982E+00  7.718911962E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.537865406E-04  4.255461712E-05  9.682999821E+04 -2.149396730E-04  2.918642953E+02  2.918642952E+02  1.224999981E+00  9.991734395E-01  1.224999981E+00  8.265447157E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943560072E-04  2.291232464E-04  9.682999961E+04 -1.852927981E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998548E-01  1.225000000E+00  1.451709593E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.616024500E-05  1.185395437E-04  9.682999772E+04  6.200100949E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148704728E-03  1.813620381E-03  9.682999821E+04 -4.938693613E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.937267461E-04  8.237955053E-05  9.682999979E+04 -3.185595936E-04  2.919997987E+02  2.919997985E+02  1.225000002E+00  9.999975050E-01  1.225000002E+00  2.496818159E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.344973675E-04  2.017718060E-04  9.682999866E+04 -2.503909755E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999902E-01  1.224999989E+00  4.874146411E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.427125207E-04  3.892747637E-05  9.682999996E+04 -2.071926869E-04  2.919944025E+02  2.919944024E+02  1.225000003E+00  9.999841756E-01  1.225000003E+00  1.582649856E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035940980E-04  1.845825026E-04  9.682999978E+04 -2.351720718E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815256125E-03  1.776021087E-03  9.682999963E+04 -1.947173256E-04  2.919979939E+02  2.919979938E+02  1.225000018E+00  9.999769285E-01  1.225000018E+00  2.308642626E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.718248398E-04  2.232149902E-05  9.682999883E+04 -2.505922979E-04  2.803452964E+02  2.803452962E+02  1.224999989E+00  9.668131264E-01  1.224999989E+00  3.318686426E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202833070E-04  5.550841594E-05  9.683000040E+04 -2.694952402E-04  2.911254994E+02  2.911254992E+02  1.225000009E+00  9.971575510E-01  1.225000009E+00  2.842456465E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.804179197E-04  1.880521879E-04  9.682999909E+04 -1.059616265E-04  2.872641339E+02  2.872641338E+02  1.224999992E+00  9.929827494E-01  1.224999992E+00  7.017244034E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.735726067E-04  3.608662643E-04  9.683000017E+04 -3.818023566E-05  2.868732561E+02  2.868732561E+02  1.225000007E+00  9.980528806E-01  1.225000007E+00  1.947124994E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.587795687E-05  1.006902058E-04  9.682999996E+04  6.599669566E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113854951E-02  1.067759151E-02  9.682998814E+04 -1.395797224E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.298471893E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.364084728E-04  4.056556273E-05  9.683000111E+04 -2.993621523E-04  2.917405559E+02  2.917405557E+02  1.225000018E+00  9.999989624E-01  1.225000018E+00  1.052498421E-06 
