nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.360236760E-05  2.599553831E-05  9.682999981E+04  1.011726612E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073513071E-04  2.146896026E-04  9.682999815E+04 -2.114580795E-04  2.919999553E+02  2.919999551E+02  1.224999982E+00  9.999879749E-01  1.224999982E+00  1.201020043E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.514605320E-04  4.146305369E-05  9.682999822E+04 -2.136101601E-04  2.918651217E+02  2.918651215E+02  1.224999981E+00  9.991335318E-01  1.224999981E+00  8.664523660E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.945388818E-04  2.292100917E-04  9.682999961E+04 -1.853965009E-04  2.920000010E+02  2.920000009E+02  1.225000000E+00  9.999998472E-01  1.225000000E+00  1.528278696E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.625655673E-05  1.185587211E-04  9.682999772E+04  6.192208907E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148693897E-03  1.813602341E-03  9.682999821E+04 -4.938750328E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.926685977E-04  8.176976799E-05  9.682999979E+04 -3.180578868E-04  2.919998073E+02  2.919998071E+02  1.225000002E+00  9.999982163E-01  1.225000002E+00  1.785522478E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.347152337E-04  2.013712921E-04  9.682999866E+04 -2.509742618E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  7.320200847E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.433469218E-04  3.972559656E-05  9.682999996E+04 -2.070990067E-04  2.919947663E+02  2.919947662E+02  1.225000003E+00  9.999883313E-01  1.225000003E+00  1.167077820E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036197869E-04  1.845737391E-04  9.682999978E+04 -2.352057287E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815498416E-03  1.776036181E-03  9.682999963E+04 -1.949460108E-04  2.919980158E+02  2.919980158E+02  1.225000018E+00  9.999770919E-01  1.225000018E+00  2.292296022E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.715858721E-04  2.244483711E-05  9.682999883E+04 -2.502358894E-04  2.803359536E+02  2.803359534E+02  1.224999989E+00  9.669809419E-01  1.224999989E+00  3.301904878E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.192498442E-04  5.583307821E-05  9.683000040E+04 -2.681683342E-04  2.911434786E+02  2.911434784E+02  1.225000009E+00  9.977432803E-01  1.225000009E+00  2.256727193E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.781170845E-04  1.859596200E-04  9.682999909E+04 -1.056118009E-04  2.872815429E+02  2.872815428E+02  1.224999992E+00  9.928929976E-01  1.224999992E+00  7.106995859E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.738011630E-04  3.609680357E-04  9.683000017E+04 -3.832178836E-05  2.868793288E+02  2.868793288E+02  1.225000007E+00  9.980611088E-01  1.225000007E+00  1.938896765E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.600307927E-05  1.007532663E-04  9.682999996E+04  6.592912991E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113869275E-02  1.067770399E-02  9.682998814E+04 -1.395837871E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.594956087E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.356359661E-04  4.018432186E-05  9.683000111E+04 -2.989367268E-04  2.917314134E+02  2.917314131E+02  1.225000018E+00  9.999991884E-01  1.225000018E+00  8.264723085E-07 
