nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.368800675E-05  2.603000207E-05  9.682999981E+04  1.006307079E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.069454824E-04  2.137655471E-04  9.682999815E+04 -2.118953507E-04  2.919999364E+02  2.919999362E+02  1.224999982E+00  9.999879018E-01  1.224999982E+00  1.208329292E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.500698286E-04  4.103528906E-05  9.682999822E+04 -2.126101734E-04  2.918670813E+02  2.918670812E+02  1.224999981E+00  9.991687408E-01  1.224999981E+00  8.312434120E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.947054095E-04  2.292984559E-04  9.682999961E+04 -1.854823697E-04  2.920000010E+02  2.920000009E+02  1.225000000E+00  9.999998400E-01  1.225000000E+00  1.599677259E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.634707364E-05  1.185652155E-04  9.682999772E+04  6.183748075E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148726087E-03  1.813593117E-03  9.682999821E+04 -4.939156352E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.924174848E-04  8.168635793E-05  9.682999979E+04 -3.178828267E-04  2.919998291E+02  2.919998289E+02  1.225000002E+00  9.999986991E-01  1.225000002E+00  1.302792569E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.346654420E-04  2.009199228E-04  9.682999866E+04 -2.513363488E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999899E-01  1.224999989E+00  7.382012910E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.435662081E-04  3.997205529E-05  9.682999996E+04 -2.070933828E-04  2.919949404E+02  2.919949403E+02  1.225000003E+00  9.999904099E-01  1.225000003E+00  9.592181181E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036496182E-04  1.845621082E-04  9.682999978E+04 -2.352461611E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815599767E-03  1.776074634E-03  9.682999963E+04 -1.950122428E-04  2.919980238E+02  2.919980238E+02  1.225000018E+00  9.999771850E-01  1.225000018E+00  2.282990975E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.716628121E-04  2.181470419E-05  9.682999883E+04 -2.509236484E-04  2.804822283E+02  2.804822281E+02  1.224999989E+00  9.689817925E-01  1.224999989E+00  3.101819822E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.184177828E-04  5.619386542E-05  9.683000040E+04 -2.670018291E-04  2.911186037E+02  2.911186034E+02  1.225000009E+00  9.981086023E-01  1.225000009E+00  1.891405190E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.763609427E-04  1.844606668E-04  9.682999909E+04 -1.052837172E-04  2.873473747E+02  2.873473746E+02  1.224999992E+00  9.933998510E-01  1.224999992E+00  6.600142484E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.741345707E-04  3.611569564E-04  9.683000017E+04 -3.847706655E-05  2.868770523E+02  2.868770523E+02  1.225000007E+00  9.980622543E-01  1.225000007E+00  1.937751308E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.610495274E-05  1.007747125E-04  9.682999996E+04  6.584683907E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113915304E-02  1.067811587E-02  9.682998814E+04 -1.395922289E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.874839856E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.354890545E-04  4.057029574E-05  9.683000111E+04 -2.984380381E-04  2.917381779E+02  2.917381777E+02  1.225000018E+00  9.999993058E-01  1.225000018E+00  7.091494778E-07 
