nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.388073693E-05  2.581864721E-05  9.682999981E+04  9.677428203E-06  2.919999998E+02  2.919999998E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.028501715E-04  2.113041011E-04  9.682999815E+04 -2.100460371E-04  2.920000021E+02  2.920000019E+02  1.224999982E+00  9.999999850E-01  1.224999982E+00  8.467480311E-11 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.359753343E-04  1.878369419E-05  9.682999823E+04 -2.188324526E-04  2.919432949E+02  2.919432947E+02  1.224999981E+00  9.998266044E-01  1.224999981E+00  1.733797311E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.909701030E-04  2.289285985E-04  9.682999961E+04 -1.820845498E-04  2.920000008E+02  2.920000007E+02  1.225000000E+00  9.999998766E-01  1.225000000E+00  1.233668357E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.675316349E-05  1.185876060E-04  9.682999772E+04  6.145187790E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.154193907E-03  1.814313855E-03  9.682999821E+04 -4.987258288E-04  2.920000012E+02  2.920000009E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.965896035E-04  8.964784716E-05  9.682999978E+04 -3.147905029E-04  2.919998424E+02  2.919998422E+02  1.225000002E+00  9.999950294E-01  1.225000002E+00  4.972479511E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.330390193E-04  2.003988136E-04  9.682999867E+04 -2.501853485E-04  2.919999974E+02  2.919999972E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  3.642959679E-17 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.539718563E-04  5.411690538E-05  9.682999995E+04 -2.045929684E-04  2.919996972E+02  2.919996971E+02  1.225000003E+00  1.000000000E+00  1.225000003E+00  1.670182446E-09 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -3.998801158E-04  1.843005334E-04  9.682999978E+04 -2.317153212E-04  2.920000006E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.818361202E-03  1.776778795E-03  9.682999962E+04 -1.971313231E-04  2.919980412E+02  2.919980412E+02  1.225000018E+00  9.999762297E-01  1.225000018E+00  2.378516356E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.580700377E-04  2.659254832E-05  9.682999884E+04 -2.333392407E-04  2.865444389E+02  2.865444387E+02  1.224999989E+00  9.975032051E-01  1.224999989E+00  2.496785592E-03 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.161878022E-04  4.917912813E-05  9.683000041E+04 -2.713029135E-04  2.919226829E+02  2.919226827E+02  1.225000009E+00  9.999634388E-01  1.225000009E+00  3.656867445E-05 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.582294147E-04  1.599836297E-04  9.682999911E+04 -1.106993764E-04  2.889956403E+02  2.889956402E+02  1.224999992E+00  9.980799830E-01  1.224999992E+00  1.920010466E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.710951516E-04  3.605836365E-04  9.683000017E+04 -3.595942991E-05  2.868690610E+02  2.868690610E+02  1.225000007E+00  9.980037086E-01  1.225000007E+00  1.996296994E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.655037155E-05  1.009969520E-04  9.682999996E+04  6.560421465E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.117787999E-02  1.067776636E-02  9.682998810E+04 -1.434968108E-03  2.919999983E+02  2.919999979E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  2.470011939E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.304386532E-04  3.850080501E-05  9.683000111E+04 -2.953034732E-04  2.919556187E+02  2.919556185E+02  1.225000018E+00  9.999992967E-01  1.225000018E+00  7.181869640E-07 
