nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.359798932E-05  2.599241490E-05  9.682999981E+04  1.011874037E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073678861E-04  2.147326552E-04  9.682999815E+04 -2.114353672E-04  2.919999559E+02  2.919999557E+02  1.224999982E+00  9.999880264E-01  1.224999982E+00  1.195867844E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.515356855E-04  4.148945881E-05  9.682999822E+04 -2.136611457E-04  2.918650724E+02  2.918650723E+02  1.224999981E+00  9.991330337E-01  1.224999981E+00  8.669504205E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.945306204E-04  2.292058479E-04  9.682999961E+04 -1.853920791E-04  2.920000010E+02  2.920000009E+02  1.225000000E+00  9.999998475E-01  1.225000000E+00  1.525215041E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.625227759E-05  1.185582847E-04  9.682999772E+04  6.192601461E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148693093E-03  1.813602830E-03  9.682999821E+04 -4.938738008E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.926983026E-04  8.178552647E-05  9.682999979E+04 -3.180731278E-04  2.919998063E+02  2.919998060E+02  1.225000002E+00  9.999981859E-01  1.225000002E+00  1.815916851E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.347148628E-04  2.013908961E-04  9.682999866E+04 -2.509559837E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  7.299760626E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.433319428E-04  3.970507083E-05  9.682999996E+04 -2.071026443E-04  2.919947557E+02  2.919947556E+02  1.225000003E+00  9.999882212E-01  1.225000003E+00  1.178086641E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036180598E-04  1.845739581E-04  9.682999978E+04 -2.352038602E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815491057E-03  1.776033564E-03  9.682999963E+04 -1.949409920E-04  2.919980153E+02  2.919980152E+02  1.225000018E+00  9.999770869E-01  1.225000018E+00  2.292795211E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.715875453E-04  2.246302215E-05  9.682999883E+04 -2.502199203E-04  2.803318481E+02  2.803318479E+02  1.224999989E+00  9.668965059E-01  1.224999989E+00  3.310348483E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.192962019E-04  5.582618191E-05  9.683000040E+04 -2.682209657E-04  2.911440754E+02  2.911440751E+02  1.225000009E+00  9.977221785E-01  1.225000009E+00  2.277828972E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.782086871E-04  1.860444166E-04  9.682999909E+04 -1.056234713E-04  2.872795209E+02  2.872795209E+02  1.224999992E+00  9.928793667E-01  1.224999992E+00  7.120626744E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.737876883E-04  3.609608219E-04  9.683000017E+04 -3.831500806E-05  2.868793163E+02  2.868793163E+02  1.225000007E+00  9.980610237E-01  1.225000007E+00  1.938981925E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.599808822E-05  1.007518327E-04  9.682999996E+04  6.593275461E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113867220E-02  1.067768544E-02  9.682998814E+04 -1.395834254E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.582885464E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.356557501E-04  4.017846249E-05  9.683000111E+04 -2.989618907E-04  2.917313707E+02  2.917313705E+02  1.225000018E+00  9.999991812E-01  1.225000018E+00  8.336862719E-07 
