nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.354382756E-05  2.593882318E-05  9.682999981E+04  1.012394687E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075360600E-04  2.152344137E-04  9.682999815E+04 -2.111456774E-04  2.919999629E+02  2.919999627E+02  1.224999982E+00  9.999892225E-01  1.224999982E+00  1.076263961E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.525557731E-04  4.190494711E-05  9.682999821E+04 -2.143020201E-04  2.918646462E+02  2.918646460E+02  1.224999981E+00  9.991382614E-01  1.224999981E+00  8.617227697E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.944318648E-04  2.291575237E-04  9.682999961E+04 -1.853373933E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998512E-01  1.225000000E+00  1.488366250E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.620068777E-05  1.185514932E-04  9.682999772E+04  6.197145499E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148690568E-03  1.813611519E-03  9.682999821E+04 -4.938633629E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.931600329E-04  8.204637182E-05  9.682999979E+04 -3.182968452E-04  2.919997952E+02  2.919997949E+02  1.225000002E+00  9.999977750E-01  1.225000002E+00  2.226901962E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.346766977E-04  2.016122060E-04  9.682999866E+04 -2.507159375E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  6.767727671E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.430987646E-04  3.939011959E-05  9.682999996E+04 -2.071568753E-04  2.919946074E+02  2.919946072E+02  1.225000003E+00  9.999866624E-01  1.225000003E+00  1.333969451E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035986365E-04  1.845769970E-04  9.682999978E+04 -2.351815995E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815388190E-03  1.776008489E-03  9.682999963E+04 -1.948610361E-04  2.919980069E+02  2.919980068E+02  1.225000018E+00  9.999770158E-01  1.225000018E+00  2.299907959E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.716474759E-04  2.255569946E-05  9.682999883E+04 -2.501896191E-04  2.803088572E+02  2.803088570E+02  1.224999989E+00  9.662583281E-01  1.224999989E+00  3.374166255E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.198503747E-04  5.572183526E-05  9.683000040E+04 -2.688709263E-04  2.911470957E+02  2.911470954E+02  1.225000009E+00  9.974347362E-01  1.225000009E+00  2.565271251E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.793647645E-04  1.871213179E-04  9.682999909E+04 -1.057699360E-04  2.872612654E+02  2.872612653E+02  1.224999992E+00  9.927895781E-01  1.224999992E+00  7.210415361E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736431516E-04  3.608877751E-04  9.683000017E+04 -3.823637886E-05  2.868777317E+02  2.868777317E+02  1.225000007E+00  9.980587353E-01  1.225000007E+00  1.941270311E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.593585282E-05  1.007295701E-04  9.682999996E+04  6.597458503E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113848320E-02  1.067751791E-02  9.682998814E+04 -1.395798000E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.438900626E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.359739516E-04  4.022503516E-05  9.683000111E+04 -2.992377809E-04  2.917333358E+02  2.917333355E+02  1.225000018E+00  9.999990742E-01  1.225000018E+00  9.407460966E-07 
