nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.369613710E-05  2.589682888E-05  9.682999981E+04  9.933412687E-06  2.919999996E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.058001630E-04  2.147700062E-04  9.682999815E+04 -2.098332633E-04  2.919994802E+02  2.919994801E+02  1.224999982E+00  9.999908404E-01  1.224999982E+00  9.144682256E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.500896191E-04  4.020616311E-05  9.682999822E+04 -2.133873289E-04  2.918709479E+02  2.918709478E+02  1.224999981E+00  9.993787967E-01  1.224999981E+00  6.211874365E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.949303825E-04  2.295925241E-04  9.682999961E+04 -1.854390147E-04  2.920000012E+02  2.920000011E+02  1.225000000E+00  9.999998175E-01  1.225000000E+00  1.824934788E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.635480819E-05  1.185635676E-04  9.682999772E+04  6.182839993E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148480138E-03  1.813383116E-03  9.682999821E+04 -4.938613196E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.942152400E-04  8.297897123E-05  9.682999979E+04 -3.185012355E-04  2.919997895E+02  2.919997892E+02  1.225000002E+00  9.999985498E-01  1.225000002E+00  1.452065126E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.341038137E-04  2.015124315E-04  9.682999866E+04 -2.502340475E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999903E-01  1.224999989E+00  3.834403581E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.431575581E-04  3.908345645E-05  9.682999996E+04 -2.074955329E-04  2.919946376E+02  2.919946374E+02  1.225000003E+00  9.999948671E-01  1.225000003E+00  5.134963265E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035432078E-04  1.845498095E-04  9.682999978E+04 -2.351510140E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815101318E-03  1.775851968E-03  9.682999963E+04 -1.947171621E-04  2.919980446E+02  2.919980446E+02  1.225000018E+00  9.999774416E-01  1.225000018E+00  2.257333198E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.707809557E-04  2.192043374E-05  9.682999883E+04 -2.499766274E-04  2.808934843E+02  2.808934841E+02  1.224999989E+00  9.709840733E-01  1.224999989E+00  2.901591738E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202605207E-04  5.868113148E-05  9.683000040E+04 -2.665430108E-04  2.910002746E+02  2.910002743E+02  1.225000009E+00  9.987617598E-01  1.225000009E+00  1.238247698E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.731500070E-04  1.780243270E-04  9.682999910E+04 -1.082913838E-04  2.877885759E+02  2.877885758E+02  1.224999992E+00  9.959882932E-01  1.224999992E+00  4.011700275E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.753609121E-04  3.621122450E-04  9.683000017E+04 -3.882227886E-05  2.868824159E+02  2.868824159E+02  1.225000007E+00  9.980957305E-01  1.225000007E+00  1.904275088E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.610287654E-05  1.007448496E-04  9.682999996E+04  6.582158409E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113857089E-02  1.067761137E-02  9.682998814E+04 -1.395800511E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.555682446E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.364399675E-04  4.066328599E-05  9.683000111E+04 -2.993077997E-04  2.917680604E+02  2.917680602E+02  1.225000018E+00  9.999995497E-01  1.225000018E+00  4.651811245E-07 
