nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.352332110E-05  2.573350779E-05  9.682999981E+04  9.957173455E-06  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073660536E-04  2.155287305E-04  9.682999815E+04 -2.107071499E-04  2.919999653E+02  2.919999651E+02  1.224999982E+00  9.999948107E-01  1.224999982E+00  5.174405330E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.541551349E-04  4.279483761E-05  9.682999821E+04 -2.150890617E-04  2.918647215E+02  2.918647213E+02  1.224999981E+00  9.992130485E-01  1.224999981E+00  7.869357008E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943762912E-04  2.291149113E-04  9.682999961E+04 -1.853208521E-04  2.920000009E+02  2.920000008E+02  1.225000000E+00  9.999998566E-01  1.225000000E+00  1.433625613E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.617925751E-05  1.185267229E-04  9.682999772E+04  6.197030394E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148729518E-03  1.813608073E-03  9.682999821E+04 -4.939054573E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.938928291E-04  8.244995568E-05  9.682999979E+04 -3.186614443E-04  2.919998141E+02  2.919998139E+02  1.225000002E+00  9.999978101E-01  1.225000002E+00  2.191742828E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.343796357E-04  2.017116385E-04  9.682999866E+04 -2.503280843E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999904E-01  1.224999989E+00  2.440021439E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.426030974E-04  3.875416409E-05  9.682999996E+04 -2.072414938E-04  2.919943490E+02  2.919943489E+02  1.225000003E+00  9.999824942E-01  1.225000003E+00  1.750786728E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036317336E-04  1.845845594E-04  9.682999978E+04 -2.352078401E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815191659E-03  1.776081097E-03  9.682999963E+04 -1.945981035E-04  2.919979861E+02  2.919979860E+02  1.225000018E+00  9.999769175E-01  1.225000018E+00  2.309735648E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.720355513E-04  2.202928110E-05  9.682999883E+04 -2.510838951E-04  2.803847245E+02  2.803847243E+02  1.224999989E+00  9.675576467E-01  1.224999989E+00  3.244234396E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202077879E-04  5.545363737E-05  9.683000040E+04 -2.694630825E-04  2.910836665E+02  2.910836662E+02  1.225000009E+00  9.971487784E-01  1.225000009E+00  2.851229025E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.805457957E-04  1.880556611E-04  9.682999909E+04 -1.061045042E-04  2.872943248E+02  2.872943247E+02  1.224999992E+00  9.933131352E-01  1.224999992E+00  6.686858290E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736335487E-04  3.609061481E-04  9.683000017E+04 -3.820184623E-05  2.868714707E+02  2.868714706E+02  1.225000007E+00  9.980476990E-01  1.225000007E+00  1.952306556E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.588000539E-05  1.006482666E-04  9.682999996E+04  6.595627811E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113884345E-02  1.067785267E-02  9.682998814E+04 -1.395852866E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.235485353E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.366167570E-04  4.086230276E-05  9.683000111E+04 -2.993000800E-04  2.917451135E+02  2.917451132E+02  1.225000018E+00  9.999990203E-01  1.225000018E+00  9.946020807E-07 
