nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.351374541E-05  2.575051831E-05  9.682999981E+04  9.982265768E-06  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073686932E-04  2.155614052E-04  9.682999815E+04 -2.106799946E-04  2.919999650E+02  2.919999649E+02  1.224999982E+00  9.999945815E-01  1.224999982E+00  5.403635545E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.541559324E-04  4.280439579E-05  9.682999821E+04 -2.150811739E-04  2.918645479E+02  2.918645477E+02  1.224999981E+00  9.992075389E-01  1.224999981E+00  7.924452886E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943653029E-04  2.291159958E-04  9.682999961E+04 -1.853087888E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998564E-01  1.225000000E+00  1.436236432E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.617088647E-05  1.185290962E-04  9.682999772E+04  6.198078314E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148723467E-03  1.813611779E-03  9.682999821E+04 -4.938960428E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.938885703E-04  8.245854762E-05  9.682999979E+04 -3.186493199E-04  2.919998119E+02  2.919998116E+02  1.225000002E+00  9.999977442E-01  1.225000002E+00  2.257682794E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.343754619E-04  2.017280276E-04  9.682999866E+04 -2.503091086E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999904E-01  1.224999989E+00  2.782274177E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.425818205E-04  3.874662725E-05  9.682999996E+04 -2.072270661E-04  2.919943380E+02  2.919943378E+02  1.225000003E+00  9.999826450E-01  1.225000003E+00  1.735713152E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036205595E-04  1.845845014E-04  9.682999978E+04 -2.351967920E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815194973E-03  1.776067116E-03  9.682999963E+04 -1.946140985E-04  2.919979870E+02  2.919979869E+02  1.225000018E+00  9.999769126E-01  1.225000018E+00  2.310227550E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.720056689E-04  2.206260120E-05  9.682999883E+04 -2.510219304E-04  2.803799651E+02  2.803799649E+02  1.224999989E+00  9.674667131E-01  1.224999989E+00  3.253327763E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202419407E-04  5.545967696E-05  9.683000040E+04 -2.694924294E-04  2.910884378E+02  2.910884376E+02  1.225000009E+00  9.971134637E-01  1.225000009E+00  2.886543743E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.805718190E-04  1.881022584E-04  9.682999909E+04 -1.060838051E-04  2.872884961E+02  2.872884960E+02  1.224999992E+00  9.932707668E-01  1.224999992E+00  6.729226702E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736178529E-04  3.608984419E-04  9.683000017E+04 -3.819335448E-05  2.868714677E+02  2.868714677E+02  1.225000007E+00  9.980486007E-01  1.225000007E+00  1.951404859E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.587457992E-05  1.006558504E-04  9.682999996E+04  6.596873370E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113878797E-02  1.067780680E-02  9.682998814E+04 -1.395839230E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.243306888E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.365980092E-04  4.083714896E-05  9.683000111E+04 -2.993041851E-04  2.917447661E+02  2.917447659E+02  1.225000018E+00  9.999990014E-01  1.225000018E+00  1.013474892E-06 
