nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.352496082E-05  2.573106281E-05  9.682999981E+04  9.953245783E-06  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.073670332E-04  2.155245582E-04  9.682999815E+04 -2.107119350E-04  2.919999653E+02  2.919999651E+02  1.224999982E+00  9.999948328E-01  1.224999982E+00  5.152288219E-06 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.541541445E-04  4.279170139E-05  9.682999821E+04 -2.150909672E-04  2.918647483E+02  2.918647481E+02  1.224999981E+00  9.992137576E-01  1.224999981E+00  7.862265531E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.943781807E-04  2.291147320E-04  9.682999961E+04 -1.853228072E-04  2.920000009E+02  2.920000008E+02  1.225000000E+00  9.999998567E-01  1.225000000E+00  1.433218181E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.618067426E-05  1.185263634E-04  9.682999772E+04  6.196853587E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148730530E-03  1.813607486E-03  9.682999821E+04 -4.939070082E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.938931913E-04  8.244818899E-05  9.682999979E+04 -3.186634225E-04  2.919998144E+02  2.919998141E+02  1.225000002E+00  9.999978189E-01  1.225000002E+00  2.182968798E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.343815315E-04  2.017096422E-04  9.682999866E+04 -2.503318492E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999904E-01  1.224999989E+00  2.398538474E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.426074944E-04  3.875621530E-05  9.682999996E+04 -2.072439920E-04  2.919943512E+02  2.919943510E+02  1.225000003E+00  9.999824784E-01  1.225000003E+00  1.752370157E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036336339E-04  1.845845945E-04  9.682999978E+04 -2.352096386E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815191504E-03  1.776083238E-03  9.682999963E+04 -1.945960133E-04  2.919979860E+02  2.919979859E+02  1.225000018E+00  9.999769185E-01  1.225000018E+00  2.309641082E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.720392811E-04  2.202576344E-05  9.682999883E+04 -2.510910225E-04  2.803853380E+02  2.803853378E+02  1.224999989E+00  9.675695797E-01  1.224999989E+00  3.243041102E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.202037980E-04  5.545367973E-05  9.683000040E+04 -2.694588958E-04  2.910831625E+02  2.910831623E+02  1.225000009E+00  9.971563105E-01  1.225000009E+00  2.843696961E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.805412431E-04  1.880478740E-04  9.682999909E+04 -1.061076860E-04  2.872951533E+02  2.872951533E+02  1.224999992E+00  9.933184052E-01  1.224999992E+00  6.681588244E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736358482E-04  3.609071972E-04  9.683000017E+04 -3.820321768E-05  2.868714818E+02  2.868714818E+02  1.225000007E+00  9.980475568E-01  1.225000007E+00  1.952448743E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.588098447E-05  1.006471308E-04  9.682999996E+04  6.595431286E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113885130E-02  1.067785893E-02  9.682998814E+04 -1.395855015E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.234326472E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.366191903E-04  4.086440214E-05  9.683000111E+04 -2.993005552E-04  2.917451487E+02  2.917451485E+02  1.225000018E+00  9.999990231E-01  1.225000018E+00  9.918008971E-07 
