nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.234794373E-05  2.581921579E-05  9.682999981E+04  1.121069801E-05  2.919999998E+02  2.919999998E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.151695542E-04  2.104403213E-04  9.682999814E+04 -2.231534700E-04  2.920000004E+02  2.920000003E+02  1.224999982E+00  9.999999851E-01  1.224999982E+00  3.233030102E-20 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.520883040E-04  9.390239795E-06  9.682999821E+04 -2.435201228E-04  2.919995511E+02  2.919995509E+02  1.224999981E+00  9.999992762E-01  1.224999981E+00  7.079761618E-07 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.923920909E-04  2.253555243E-04  9.682999961E+04 -1.867667895E-04  2.920000002E+02  2.920000001E+02  1.225000000E+00  9.999999651E-01  1.225000000E+00  3.488067138E-08 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.699374364E-05  1.186377425E-04  9.682999772E+04  6.125714186E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148133327E-03  1.813328098E-03  9.682999821E+04 -4.935646539E-04  2.920000012E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.178863495E-04  9.585196404E-05  9.682999976E+04 -3.304263427E-04  2.920000640E+02  2.920000637E+02  1.225000002E+00  9.999999912E-01  1.225000002E+00  1.071236665E-08 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.452713589E-04  1.995740588E-04  9.682999865E+04 -2.631703044E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  1.009822080E-28 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.789579285E-04  6.347226967E-05  9.682999992E+04 -2.210427236E-04  2.920000024E+02  2.920000022E+02  1.225000003E+00  1.000000002E+00  1.225000003E+00  6.760470620E-14 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.031402678E-04  1.834378341E-04  9.682999978E+04 -2.357627526E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.814894901E-03  1.775822037E-03  9.682999963E+04 -1.945381749E-04  2.919980881E+02  2.919980881E+02  1.225000018E+00  9.999743982E-01  1.225000018E+00  2.561670073E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.754288099E-04  2.260997168E-05  9.682999882E+04 -2.547574929E-04  2.914484461E+02  2.914484459E+02  1.224999989E+00  9.998298470E-01  1.224999989E+00  1.701437090E-04 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.295127024E-04  4.815868266E-05  9.683000039E+04 -2.855713046E-04  2.920065304E+02  2.920065302E+02  1.225000009E+00  1.000000006E+00  1.225000009E+00  1.510801169E-09 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.810169977E-04  1.659968856E-04  9.682999909E+04 -1.293816927E-04  2.916869889E+02  2.916869888E+02  1.224999992E+00  9.996394462E-01  1.224999992E+00  3.605472848E-04 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.741489152E-04  3.612998760E-04  9.683000017E+04 -3.909042079E-05  2.874937495E+02  2.874937495E+02  1.225000007E+00  9.985243405E-01  1.225000007E+00  1.475665089E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.677184190E-05  1.011098066E-04  9.682999996E+04  6.548559756E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.112906890E-02  1.066765483E-02  9.682998815E+04 -1.395383418E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  5.803966247E-23 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.509497252E-04  3.595495398E-05  9.683000109E+04 -3.181426925E-04  2.919999818E+02  2.919999815E+02  1.225000018E+00  1.000000015E+00  1.225000018E+00  1.057977057E-10 
