nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373600671E-05  2.597527374E-05  9.682999981E+04  9.965131061E-06  2.919999996E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.059709220E-04  2.134502466E-04  9.682999815E+04 -2.112084243E-04  2.919997854E+02  2.919997853E+02  1.224999982E+00  9.999891556E-01  1.224999982E+00  1.082953558E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.493928994E-04  4.084798459E-05  9.682999822E+04 -2.121047097E-04  2.918715934E+02  2.918715933E+02  1.224999981E+00  9.992923744E-01  1.224999981E+00  7.076098173E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.948589623E-04  2.294338596E-04  9.682999961E+04 -1.855123614E-04  2.920000011E+02  2.920000010E+02  1.225000000E+00  9.999998257E-01  1.225000000E+00  1.743268411E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.642230132E-05  1.185665191E-04  9.682999772E+04  6.176353447E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148680684E-03  1.813496761E-03  9.682999821E+04 -4.939580800E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.935070015E-04  8.256076502E-05  9.682999979E+04 -3.181745630E-04  2.919998287E+02  2.919998284E+02  1.225000002E+00  9.999986764E-01  1.225000002E+00  1.325425798E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.341703581E-04  2.007349424E-04  9.682999866E+04 -2.510099913E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999901E-01  1.224999989E+00  6.095481703E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.433954347E-04  3.951753903E-05  9.682999996E+04 -2.073372355E-04  2.919948332E+02  2.919948330E+02  1.225000003E+00  9.999932054E-01  1.225000003E+00  6.796696456E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036092869E-04  1.845234120E-04  9.682999978E+04 -2.352411235E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815395872E-03  1.775947395E-03  9.682999963E+04 -1.949245702E-04  2.919980336E+02  2.919980335E+02  1.225000018E+00  9.999773595E-01  1.225000018E+00  2.265544351E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.717648684E-04  2.101510239E-05  9.682999883E+04 -2.518078324E-04  2.807662512E+02  2.807662510E+02  1.224999989E+00  9.696237188E-01  1.224999989E+00  3.037627191E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.186862259E-04  5.838909373E-05  9.683000040E+04 -2.652417436E-04  2.910196862E+02  2.910196860E+02  1.225000009E+00  9.984604539E-01  1.225000009E+00  1.539553516E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.744307424E-04  1.817819537E-04  9.682999909E+04 -1.059848142E-04  2.876043240E+02  2.876043239E+02  1.224999992E+00  9.950392624E-01  1.224999992E+00  4.960731055E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.748446131E-04  3.616530308E-04  9.683000017E+04 -3.872499820E-05  2.868760190E+02  2.868760190E+02  1.225000007E+00  9.980780802E-01  1.225000007E+00  1.921925423E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.618125875E-05  1.007720430E-04  9.682999996E+04  6.576800938E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113914962E-02  1.067808855E-02  9.682998814E+04 -1.395943862E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.383673481E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.361849650E-04  4.135817623E-05  9.683000111E+04 -2.984171006E-04  2.917591746E+02  2.917591743E+02  1.225000018E+00  9.999994427E-01  1.225000018E+00  5.722409394E-07 
