nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.219544024E-05  2.566700220E-05  9.682999981E+04  1.122441264E-05  2.919999998E+02  2.919999998E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.155730071E-04  2.106888985E-04  9.682999814E+04 -2.233302378E-04  2.920000004E+02  2.920000002E+02  1.224999982E+00  9.999999851E-01  1.224999982E+00  3.796118355E-27 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.531091688E-04  8.201480200E-06  9.682999821E+04 -2.456258334E-04  2.919998993E+02  2.919998991E+02  1.224999981E+00  9.999999806E-01  1.224999981E+00  3.570572655E-09 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.899443138E-04  2.240017193E-04  9.682999961E+04 -1.855542364E-04  2.919999999E+02  2.919999998E+02  1.225000000E+00  9.999999982E-01  1.225000000E+00  1.816855705E-09 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.673120777E-05  1.187561345E-04  9.682999772E+04  6.162767971E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.147665673E-03  1.813224648E-03  9.682999821E+04 -4.931914672E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -4.168981520E-04  9.467601021E-05  9.682999976E+04 -3.305110614E-04  2.920000667E+02  2.920000665E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  2.645694389E-12 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.456763023E-04  1.990833292E-04  9.682999865E+04 -2.640229541E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999907E-01  1.224999989E+00  6.620091905E-37 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.823598328E-04  6.584819941E-05  9.682999992E+04 -2.222767035E-04  2.920000026E+02  2.920000024E+02  1.225000003E+00  1.000000002E+00  1.225000003E+00  2.205576133E-17 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.024059457E-04  1.818422553E-04  9.682999978E+04 -2.364842700E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.813443528E-03  1.771809204E-03  9.682999963E+04 -1.967506949E-04  2.919985281E+02  2.919985280E+02  1.225000018E+00  9.999808343E-01  1.225000018E+00  1.918062679E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.746278982E-04  2.291102280E-05  9.682999882E+04 -2.537239486E-04  2.920162725E+02  2.920162723E+02  1.224999989E+00  9.999838353E-01  1.224999989E+00  1.615538004E-05 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.296115130E-04  4.737915919E-05  9.683000039E+04 -2.863814088E-04  2.920065584E+02  2.920065582E+02  1.225000009E+00  1.000000007E+00  1.225000009E+00  1.274643213E-13 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.832957767E-04  1.598273519E-04  9.682999909E+04 -1.374613474E-04  2.919995868E+02  2.919995867E+02  1.224999992E+00  9.999640412E-01  1.224999992E+00  3.595224277E-05 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.748702263E-04  3.576164447E-04  9.683000017E+04 -4.429887063E-05  2.883958931E+02  2.883958931E+02  1.225000007E+00  9.993611166E-01  1.225000007E+00  6.388889473E-04 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.607171523E-05  1.006191002E-04  9.682999996E+04  6.573799890E-05  2.919999999E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.112417731E-02  1.066384809E-02  9.682998815E+04 -1.393965212E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  2.022933255E-25 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.492612660E-04  3.249725231E-05  9.683000109E+04 -3.196092933E-04  2.920007439E+02  2.920007436E+02  1.225000018E+00  1.000000015E+00  1.225000018E+00  9.925544681E-13 
