nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.373407980E-05  2.597015663E-05  9.682999981E+04  9.962329147E-06  2.919999996E+02  2.919999996E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.059348352E-04  2.135084749E-04  9.682999815E+04 -2.111191782E-04  2.919997691E+02  2.919997689E+02  1.224999982E+00  9.999892091E-01  1.224999982E+00  1.077601492E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.494301638E-04  4.083965771E-05  9.682999822E+04 -2.121495576E-04  2.918716620E+02  2.918716619E+02  1.224999981E+00  9.992988423E-01  1.224999981E+00  7.011418435E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.948628438E-04  2.294422333E-04  9.682999961E+04 -1.855086262E-04  2.920000011E+02  2.920000010E+02  1.225000000E+00  9.999998250E-01  1.225000000E+00  1.750170972E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.642052367E-05  1.185663785E-04  9.682999772E+04  6.176514304E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148669991E-03  1.813488548E-03  9.682999821E+04 -4.939549093E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.935752836E-04  8.261024214E-05  9.682999979E+04 -3.181976855E-04  2.919998268E+02  2.919998265E+02  1.225000002E+00  9.999986587E-01  1.225000002E+00  1.343165214E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.341489473E-04  2.007674679E-04  9.682999866E+04 -2.509589378E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999901E-01  1.224999989E+00  5.979818275E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.433739369E-04  3.947725039E-05  9.682999996E+04 -2.073525994E-04  2.919948148E+02  2.919948146E+02  1.225000003E+00  9.999933226E-01  1.225000003E+00  6.679510483E-06 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.036046146E-04  1.845231075E-04  9.682999978E+04 -2.352368236E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815374100E-03  1.775935730E-03  9.682999963E+04 -1.949133722E-04  2.919980342E+02  2.919980341E+02  1.225000018E+00  9.999773673E-01  1.225000018E+00  2.264762791E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.717332373E-04  2.103355716E-05  9.682999883E+04 -2.517595194E-04  2.807746257E+02  2.807746255E+02  1.224999989E+00  9.696107273E-01  1.224999989E+00  3.038926339E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.187790917E-04  5.849026570E-05  9.683000040E+04 -2.652409075E-04  2.910147555E+02  2.910147553E+02  1.225000009E+00  9.984769802E-01  1.225000009E+00  1.523027220E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.743520828E-04  1.815748027E-04  9.682999909E+04 -1.061064996E-04  2.876189360E+02  2.876189359E+02  1.224999992E+00  9.951189226E-01  1.224999992E+00  4.881070902E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.748804655E-04  3.616829116E-04  9.683000017E+04 -3.873352482E-05  2.868763971E+02  2.868763970E+02  1.225000007E+00  9.980794355E-01  1.225000007E+00  1.920570065E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.617895454E-05  1.007706649E-04  9.682999996E+04  6.576906217E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113911316E-02  1.067805601E-02  9.682998814E+04 -1.395937043E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  4.403506105E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.362187195E-04  4.135333904E-05  9.683000111E+04 -2.984553408E-04  2.917599784E+02  2.917599782E+02  1.225000018E+00  9.999994501E-01  1.225000018E+00  5.647561429E-07 
