nodenumber     x-coordinate     y-coordinate     z-coordinate         pressure dynamic-pressure absolute-pressure   total-pressure      temperature total-temperature  phase-1-density      phase-1-vof  phase-2-density      phase-2-vof 
         1  1.180011401E+00  7.000440735E-01  4.499552279E-01 -1.353100433E-05  2.591987051E-05  9.682999981E+04  1.011949317E-05  2.919999995E+02  2.919999995E+02  1.224999998E+00  9.999999981E-01  1.224999998E+00  0.000000000E+00 
         2  1.150002942E+00  1.299996259E+00  6.549998111E+00 -4.075588398E-04  2.153492991E-04  9.682999815E+04 -2.110636920E-04  2.919999643E+02  2.919999641E+02  1.224999982E+00  9.999897351E-01  1.224999982E+00  1.024995305E-05 
         3  2.599979183E-01  1.299834635E+00  4.769962194E+00 -2.528409630E-04  4.204036835E-05  9.682999821E+04 -2.144636384E-04  2.918645649E+02  2.918645647E+02  1.224999981E+00  9.991432658E-01  1.224999981E+00  8.567183958E-04 
         4  2.499957813E-01  1.300216226E+00  3.040010943E+00 -3.944092859E-04  2.291472600E-04  9.682999961E+04 -1.853242097E-04  2.920000010E+02  2.920000008E+02  1.225000000E+00  9.999998521E-01  1.225000000E+00  1.479315679E-07 
         5  1.179989316E+00  1.700000987E+00  4.500025386E-01 -4.618866489E-05  1.185492483E-04  9.682999772E+04  6.198145057E-05  2.919999933E+02  2.919999933E+02  1.224999972E+00  9.999999769E-01  1.224999972E+00  0.000000000E+00 
         6  2.090000749E+00  1.699988964E+00  2.640041275E+00 -2.148692193E-03  1.813614262E-03  9.682999821E+04 -4.938624478E-04  2.920000013E+02  2.920000010E+02  1.225000005E+00  1.000000004E+00  1.225000005E+00  0.000000000E+00 
         7  1.929998960E+00  1.700096390E+00  4.850038151E+00 -3.932961212E-04  8.212623321E-05  9.682999979E+04 -3.183601064E-04  2.919997938E+02  2.919997936E+02  1.225000002E+00  9.999976729E-01  1.225000002E+00  2.328938363E-06 
         8  1.149997690E+00  1.699993700E+00  6.550001821E+00 -4.346512280E-04  2.016611103E-04  9.682999866E+04 -2.506458654E-04  2.919999973E+02  2.919999971E+02  1.224999989E+00  9.999999900E-01  1.224999989E+00  6.501013380E-10 
         9  2.599530306E-01  1.699784014E+00  4.769789816E+00 -2.430215067E-04  3.929313744E-05  9.682999996E+04 -2.071681939E-04  2.919945643E+02  2.919945641E+02  1.225000003E+00  9.999861802E-01  1.225000003E+00  1.382194144E-05 
        10  2.500325889E-01  1.700141952E+00  3.039603904E+00 -4.035949799E-04  1.845780198E-04  9.682999978E+04 -2.351770108E-04  2.920000005E+02  2.920000004E+02  1.225000002E+00  1.000000002E+00  1.225000002E+00  0.000000000E+00 
        11  2.090000512E+00  6.999920786E-01  2.640018387E+00 -1.815359109E-03  1.776006357E-03  9.682999963E+04 -1.948338916E-04  2.919980041E+02  2.919980041E+02  1.225000018E+00  9.999769950E-01  1.225000018E+00  2.301986032E-05 
        12  1.930000944E+00  7.000071781E-01  4.849993220E+00 -2.716761945E-04  2.253382606E-05  9.682999883E+04 -2.502393856E-04  2.803117508E+02  2.803117506E+02  1.224999989E+00  9.662614681E-01  1.224999989E+00  3.373852262E-02 
        13  1.149999460E+00  7.000041210E-01  6.549999896E+00 -3.199746608E-04  5.567939473E-05  9.683000040E+04 -2.690338777E-04  2.911459518E+02  2.911459516E+02  1.225000009E+00  9.973594649E-01  1.225000009E+00  2.640542542E-03 
        14  2.599937070E-01  6.999245510E-01  4.770022657E+00 -2.796510479E-04  1.873875184E-04  9.682999909E+04 -1.058081082E-04  2.872589995E+02  2.872589994E+02  1.224999992E+00  9.927989599E-01  1.224999992E+00  7.201033567E-03 
        15  2.500057384E-01  7.000450448E-01  3.040068823E+00 -3.736154348E-04  3.608756838E-04  9.683000017E+04 -3.821876481E-05  2.868768880E+02  2.868768880E+02  1.225000007E+00  9.980576881E-01  1.225000007E+00  1.942317478E-03 
        16  1.179999658E+00  1.300002449E+00  4.500000716E-01 -2.592044745E-05  1.007222080E-04  9.682999996E+04  6.598334635E-05  2.920000000E+02  2.920000000E+02  1.225000000E+00  9.999999999E-01  1.225000000E+00  0.000000000E+00 
        17  2.090000552E+00  1.299991228E+00  2.640042717E+00 -1.113846540E-02  1.067750414E-02  9.682998814E+04 -1.395792767E-03  2.919999984E+02  2.919999980E+02  1.224999991E+00  9.999999925E-01  1.224999991E+00  3.403983828E-21 
        18  1.930000128E+00  1.300009553E+00  4.849983633E+00 -3.360713415E-04  4.027636849E-05  9.683000111E+04 -2.992885637E-04  2.917345857E+02  2.917345855E+02  1.225000018E+00  9.999990428E-01  1.225000018E+00  9.721253808E-07 
